GlobalID,EntryID,Bomb_0_X,Bomb_0_Y,Bomb_0_Z,Bomb_1_X,Bomb_1_Y,Bomb_1_Z,Bomb_10_X,Bomb_10_Y,Bomb_10_Z,Bomb_11_X,Bomb_11_Y,Bomb_11_Z,Bomb_2_X,Bomb_2_Y,Bomb_2_Z,Bomb_3_X,Bomb_3_Y,Bomb_3_Z,Bomb_4_X,Bomb_4_Y,Bomb_4_Z,Bomb_5_X,Bomb_5_Y,Bomb_5_Z,Bomb_6_X,Bomb_6_Y,Bomb_6_Z,Bomb_7_X,Bomb_7_Y,Bomb_7_Z,Bomb_8_X,Bomb_8_Y,Bomb_8_Z,Bomb_9_X,Bomb_9_Y,Bomb_9_Z,Coin_X,Coin_Y,Coin_Z,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,Ground_X,Ground_Y,Ground_Z,HandL_X,HandL_Y,HandL_Z,HandR_X,HandR_Y,HandR_Z,Head_X,Head_Y,Head_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,Passport_X,Passport_Y,Passport_Z,Player_X,Player_Y,Player_Z,PlayerImage_X,PlayerImage_Y,PlayerImage_Z,PlayerTransformEffect_X,PlayerTransformEffect_Y,PlayerTransformEffect_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,Suitcase_X,Suitcase_Y,Suitcase_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2
844,08062025072225855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.3,3.4,0,0,0,2.552,0,0,0,0,2.5,-0.2,0,0,0,-5.31,3.32,0,0,0,0,0,0,0
845,08062025072232610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,3.4,0,-1.430389,6.078828,0.01068051,1.737264,6.240205,0.02508052,-0.4161119,0.1753278,-0.001919493,0.524502,0.003935337,0.002080515,0,-3.7,0,-1.529781,4.214857,0.01688051,1.15915,4.335875,0.03248052,0.03016019,9.627741,0.04468051,-0.6016656,2.756811,0.01978052,0.7090566,2.485927,0.02698052,-6.3,3.4,0,2.282215,-3.08,0,-1.464534,5.727694,0.1665805,0,2.5,-0.2,-0.1121104,4.541257,0.03048052,-5.31,3.32,0,1,0,1,0,1,0
846,08062025072233013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,3.4,0,-1.471335,6.031432,0.01223667,2.122083,6.571507,0.03923666,-0.401124,0.1849818,-0.002263337,0.5368416,0.00422287,0.001836672,0,-3.7,0,-1.774366,4.123367,0.01753667,1.942541,8.50821,0.05793666,0.004114389,9.641933,0.04413667,-0.6483141,2.792336,0.02043667,0.7077209,2.498081,0.02653667,-6.3,3.4,0,2.244556,-3.08,0,-1.461795,5.721047,0.1667367,0,2.5,-0.2,-0.1316878,4.528283,0.03053667,-5.31,3.32,0,0,0,0,0,0,0
847,08062025072233320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,3.4,0,-1.513541,6.100302,0.009714127,2.083062,6.520224,0.04471412,-0.408264,0.1837416,-0.002485886,0.4216287,0.0114913,0.0006141216,0,-3.7,0,-2.13641,4.465034,0.01911412,1.643531,7.50189,0.05791412,0.03531575,9.645737,0.04421412,-0.733925,2.68596,0.01941411,0.6227328,2.489678,0.02591412,-6.3,3.4,0,2.266804,-3.08,0,-1.458845,5.722782,0.1667141,0,2.5,-0.2,-0.1155542,4.546078,0.03011411,-5.31,3.32,0,0,0,0,0,0,0
848,08062025072233570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,3.4,0,-1.503541,6.373731,0.003801823,1.779446,6.107682,0.02820183,-0.3882107,0.2254229,-0.001098156,0.3891127,0.02289867,-0.00279817,0,-3.7,0,-2.883799,5.361699,0.007001832,1.402243,4.163484,0.03230183,0.07052159,9.644022,0.04620183,-0.7101169,2.680243,0.01990183,0.6241388,2.406447,0.02660184,-6.3,3.4,0,2.219658,-3.08,0,-1.436422,5.713168,0.1678018,0,2.5,-0.2,-0.1210688,4.53076,0.03090183,-5.31,3.32,0,0,0,0,0,0,0
849,08062025072233786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,3.4,0,-1.493236,6.449245,0.004132241,1.803883,6.008415,0.02723224,-0.3539033,0.17979,-0.000567764,0.3895094,0.01178694,-0.003667772,0,-3.7,0,-2.645928,5.516541,0.001832232,1.799343,3.892836,0.03343225,0.115266,9.646895,0.04753225,-0.720528,2.663613,0.01993224,0.6096815,2.40027,0.02583224,-6.3,3.4,0,2.271149,-3.08,0,-1.423609,5.70488,0.1686322,0,2.5,-0.2,-0.07774305,4.525124,0.03143224,-5.31,3.32,0,0,0,0,0,0,0
850,08062025072234016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,3.4,0,-1.47951,6.47204,0.006447926,1.915316,5.985569,0.03024793,-0.346877,0.1817274,0.001547933,0.3845378,-0.006859779,-0.004452065,0,-3.7,0,-3.075521,5.232335,0.00434792,2.028281,3.874242,0.03934792,0.1781203,9.665112,0.04894792,-0.7555288,2.770197,0.02074793,0.6201042,2.422551,0.02184793,-6.3,3.4,0,2.395714,-3.08,0,-1.421213,5.710914,0.1699479,0,2.5,-0.2,-0.001531005,4.542624,0.03134793,-5.31,3.32,0,0,0,0,0,0,0
851,08062025072234193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,3.4,0,-1.470289,6.454702,0.007106841,1.947221,5.941935,0.03220683,-0.3940233,0.142931,0.002006844,0.4014559,-0.04443836,-0.001393154,0,-3.7,0,-3.139362,5.204341,0.005006835,1.912851,3.832707,0.04050684,0.2639345,9.66247,0.05080684,-0.7722175,2.769137,0.02220684,0.6434636,2.408956,0.02130684,-6.3,3.4,0,2.484846,-3.08,0,-1.424404,5.705487,0.1707068,0,2.5,-0.2,0.04809713,4.539557,0.03170684,-5.31,3.32,0,0,0,0,0,0,0
852,08062025072234416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,3.4,0,-1.420292,6.386086,0.008625165,2.061459,5.833673,0.03462516,-0.7561427,0.1265206,0.002525166,0.2277542,0.1158938,-0.01227485,0,-3.7,0,-3.073128,5.349229,0.005425155,1.833984,3.694417,0.03902516,0.4019362,9.593284,0.05332515,-0.8313369,2.444911,0.01932515,0.7074906,2.446545,0.02782516,-6.3,3.4,0,2.566971,-3.08,0,-1.408563,5.670269,0.1714251,0,2.5,-0.2,0.1126046,4.503,0.02992515,-5.31,3.32,0,0,0,0,0,0,0
853,08062025072234603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,3.4,0,-1.533568,6.43867,0.00580053,2.013753,5.85521,0.03260055,-1.01892,0.3890271,-0.001299456,0.6170954,-0.05042696,0.004700556,0,-3.7,0,-2.682302,5.44203,0.005900547,1.822697,3.73665,0.03650054,0.2391951,9.580195,0.05170055,-0.9381466,2.376642,0.01370053,0.811898,2.482654,0.02740054,-6.3,3.4,0,2.329556,-3.08,0,-1.34633,5.680971,0.1702005,0,2.5,-0.2,0.0341475,4.485288,0.02940054,-5.31,3.32,0,0,0,0,0,0,0
