GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2
661,910202464728,-0.7856259,2.849697,-3.472138,-0.783524,2.725719,-3.415991,-0.7787766,2.340551,-3.262235,-0.7720188,1.810068,-3.07607,-0.783524,2.725719,-3.415991,-0.783524,2.725719,-3.415991,-0.7720188,1.810068,-3.07607,-0.7720188,1.810068,-3.07607,-0.4517052,2.653055,-3.352648,-0.3594516,2.206321,-3.120564,-0.3872035,1.851512,-3.458713,-0.4033058,1.760953,-3.571377,-0.3872035,1.851512,-3.458713,-1.096985,2.6299,-3.456501,-1.184826,2.200877,-3.357096,-1.007689,1.843107,-3.584707,-0.9880265,1.721602,-3.635766,-1.007689,1.843107,-3.584707,-0.6219824,1.819574,-3.118791,-0.2181292,1.563437,-3.661524,-0.4987701,0.9218314,-3.030968,-0.9200495,1.807741,-3.1646,-1.10235,1.528333,-3.797418,-0.9343282,0.9045395,-3.097908,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0
662,910202464731,-0.8154569,3.100177,-6.553738,-0.8143963,2.970085,-6.526977,-0.8082579,2.564971,-6.462857,-0.8043667,2.001921,-6.397705,-0.8143963,2.970085,-6.526977,-0.8143963,2.970085,-6.526977,-0.8043667,2.001921,-6.397705,-0.8043667,2.001921,-6.397705,-0.475204,2.863081,-6.524828,-0.3947416,2.415219,-6.448999,-0.5671548,2.021445,-6.73976,-0.6422626,1.962875,-6.858509,-0.5671548,2.021445,-6.73976,-1.136702,2.865977,-6.500171,-1.213289,2.421465,-6.437369,-1.066872,2.069146,-6.702819,-0.9890863,1.97415,-6.788054,-1.066872,2.069146,-6.702819,-0.659398,2.004296,-6.46172,-0.3644105,1.692564,-7.044525,-0.6349489,1.056294,-6.462084,-0.9502025,2.005211,-6.465671,-1.223192,1.695265,-7.056191,-0.9564083,1.057305,-6.466451,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
663,910202464732,-0.8095157,3.096795,-6.563458,-0.810921,2.966399,-6.534959,-0.8115582,2.562002,-6.466315,-0.8130043,2.001101,-6.397459,-0.810921,2.966399,-6.534959,-0.810921,2.966399,-6.534959,-0.8130043,2.001101,-6.397459,-0.8130043,2.001101,-6.397459,-0.4723174,2.857209,-6.534792,-0.3907745,2.407482,-6.445203,-0.5129602,2.046783,-6.732141,-0.5947105,1.949678,-6.893318,-0.5129602,2.046783,-6.732141,-1.132096,2.86263,-6.513546,-1.210826,2.418763,-6.447578,-1.055641,2.068559,-6.710154,-0.9910025,1.985859,-6.760885,-1.055641,2.068559,-6.710154,-0.6659999,2.002161,-6.461533,-0.3924005,1.692366,-7.053422,-0.665198,1.051246,-6.468935,-0.9595987,2.005608,-6.464514,-1.22277,1.702113,-7.061852,-0.9623313,1.054734,-6.471951,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
664,910202464733,-0.8130713,3.081615,-6.614027,-0.8126535,2.950679,-6.577893,-0.8113928,2.544976,-6.486979,-0.8058924,1.982022,-6.389458,-0.8126535,2.950679,-6.577893,-0.8126535,2.950679,-6.577893,-0.8058924,1.982022,-6.389458,-0.8058924,1.982022,-6.389458,-0.4879224,2.845163,-6.571255,-0.3872371,2.361667,-6.45547,-0.3857285,2.032871,-6.790625,-0.4612184,1.924812,-6.931994,-0.3857285,2.032871,-6.790625,-1.145738,2.83998,-6.561871,-1.218581,2.401696,-6.460819,-1.19035,2.034775,-6.789264,-1.127402,1.929782,-6.919123,-1.19035,2.034775,-6.789264,-0.6573058,1.986152,-6.451015,-0.3708616,1.74286,-7.066731,-0.6189707,1.061911,-6.457691,-0.9533202,1.983956,-6.4578,-1.204328,1.736676,-7.085835,-0.9646748,1.059346,-6.465614,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
665,910202464734,-0.7722495,3.079051,-6.612647,-0.7733395,2.946806,-6.579,-0.7764144,2.537322,-6.4927,-0.7762402,1.972846,-6.394002,-0.7733395,2.946806,-6.579,-0.7733395,2.946806,-6.579,-0.7762402,1.972846,-6.394002,-0.7762402,1.972846,-6.394002,-0.4538441,2.832291,-6.558672,-0.3624822,2.353954,-6.438708,-0.3675805,2.027776,-6.796637,-0.4196489,1.934068,-6.922627,-0.3675805,2.027776,-6.796637,-1.107116,2.843759,-6.568791,-1.202601,2.380674,-6.472989,-1.175848,2.036262,-6.792837,-1.111752,1.90892,-6.929953,-1.175848,2.036262,-6.792837,-0.6272242,1.978333,-6.454534,-0.3371675,1.759105,-7.078009,-0.5961292,1.035865,-6.49489,-0.9244044,1.973787,-6.463443,-1.16868,1.746386,-7.102937,-0.9386703,1.030626,-6.505159,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
666,910202464735,-0.7597824,3.073203,-6.595325,-0.761867,2.942004,-6.564803,-0.7677346,2.533977,-6.486341,-0.77158,1.96824,-6.398647,-0.761867,2.942004,-6.564803,-0.761867,2.942004,-6.564803,-0.77158,1.96824,-6.398647,-0.77158,1.96824,-6.398647,-0.4351986,2.829096,-6.537634,-0.321375,2.349337,-6.404099,-0.4159951,2.046451,-6.744268,-0.4397502,1.9287,-6.919266,-0.4159951,2.046451,-6.744268,-1.0872,2.845948,-6.5506,-1.200805,2.37822,-6.471366,-1.167461,2.040774,-6.78765,-1.108468,1.912608,-6.933155,-1.167461,2.040774,-6.78765,-0.6229032,1.972406,-6.457722,-0.2994872,1.762455,-7.071401,-0.5892845,1.021267,-6.499094,-0.9195727,1.970622,-6.470287,-1.183824,1.757139,-7.108856,-0.9446857,1.01913,-6.514146,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
667,910202464736,-0.7588054,3.06998,-6.592024,-0.7602801,2.938731,-6.562374,-0.7653542,2.530149,-6.488225,-0.7689463,1.963378,-6.410756,-0.7602801,2.938731,-6.562374,-0.7602801,2.938731,-6.562374,-0.7689463,1.963378,-6.410756,-0.7689463,1.963378,-6.410756,-0.4324164,2.826159,-6.533954,-0.3274496,2.343655,-6.408369,-0.3607388,2.025863,-6.821324,-0.4382786,1.922301,-6.919819,-0.3607388,2.025863,-6.821324,-1.084534,2.844329,-6.550146,-1.199964,2.376161,-6.475909,-1.165176,2.037541,-6.791195,-1.096605,1.911131,-6.947121,-1.165176,2.037541,-6.791195,-0.6211826,1.966769,-6.468359,-0.274297,1.759305,-7.072184,-0.5762773,1.02028,-6.494156,-0.916057,1.966583,-6.484001,-1.190527,1.758726,-7.120786,-0.9500109,1.020043,-6.513981,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
668,910202464737,-0.7674053,3.068144,-6.591911,-0.7661665,2.93645,-6.562604,-0.7656599,2.527834,-6.489908,-0.7652426,1.960764,-6.413978,-0.7661665,2.93645,-6.562604,-0.7661665,2.93645,-6.562604,-0.7652426,1.960764,-6.413978,-0.7652426,1.960764,-6.413978,-0.4393466,2.824947,-6.526951,-0.3386652,2.340869,-6.405774,-0.3690847,2.016033,-6.794298,-0.4239448,1.923325,-6.915285,-0.3690847,2.016033,-6.794298,-1.091518,2.838417,-6.555943,-1.201743,2.373933,-6.485414,-1.151745,2.029485,-6.800099,-1.086419,1.912298,-6.949199,-1.151745,2.029485,-6.800099,-0.6177987,1.965551,-6.470119,-0.2697886,1.770758,-7.076647,-0.5514517,1.029039,-6.487246,-0.9117962,1.962508,-6.488501,-1.170528,1.761437,-7.132966,-0.9512295,1.024902,-6.512242,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
669,910202464738,-0.765774,3.062062,-6.602107,-0.7647781,2.929361,-6.574357,-0.7634215,2.517408,-6.509631,-0.7634336,1.948086,-6.446516,-0.7647781,2.929361,-6.574357,-0.7647781,2.929361,-6.574357,-0.7634336,1.948086,-6.446516,-0.7634336,1.948086,-6.446516,-0.4393133,2.815656,-6.542563,-0.3417493,2.334317,-6.438698,-0.4497094,1.946351,-6.920172,-0.4582221,1.839085,-7.025255,-0.4497094,1.946351,-6.920172,-1.09225,2.836841,-6.558247,-1.198271,2.403478,-6.465179,-1.102722,2.100435,-6.795737,-1.008073,2.045523,-6.971962,-1.102722,2.100435,-6.795737,-0.6205636,1.953036,-6.498645,-0.2959003,1.816565,-7.394267,-0.115871,1.242612,-8.048214,-0.905593,1.950585,-6.525497,-1.043348,1.810138,-7.464684,-1.086486,1.234267,-8.139656,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1
670,910202464739,-0.7456384,3.038853,-6.635288,-0.7473981,2.906621,-6.60869,-0.7518604,2.495463,-6.546413,-0.7598647,1.929708,-6.47881,-0.7473981,2.906621,-6.60869,-0.7473981,2.906621,-6.60869,-0.7598647,1.929708,-6.47881,-0.7598647,1.929708,-6.47881,-0.4245863,2.787051,-6.585781,-0.3224906,2.312605,-6.480691,-0.4206025,2.008702,-6.816381,-0.4597839,1.889427,-7.006758,-0.4206025,2.008702,-6.816381,-1.077817,2.818892,-6.582493,-1.18232,2.37452,-6.500443,-1.146435,2.034737,-6.834654,-1.112134,1.891905,-6.993701,-1.146435,2.034737,-6.834654,-0.6164439,1.931001,-6.53911,-0.2979315,1.753074,-7.137697,-0.6121494,1.038068,-6.412749,-0.9057398,1.93787,-6.54582,-1.19654,1.774408,-7.158539,-0.9308025,1.045633,-6.42014,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
