GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2,Spatial Conflict,Temporal Conflict,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach
1,10182024020248801,-0.7475718,2.680086,-3.491949,-0.7476558,2.552765,-3.455775,-0.7465822,2.157267,-3.361667,-0.7402603,1.611092,-3.255417,-0.7476558,2.552765,-3.455775,-0.7476558,2.552765,-3.455775,-0.7402603,1.611092,-3.255417,-0.7402603,1.611092,-3.255417,-0.455315,2.472046,-3.443265,-0.1795944,2.207997,-3.149755,-0.1886005,1.856821,-3.095857,-0.2337738,1.73013,-3.113622,-0.1886005,1.856821,-3.095857,-1.094538,2.463733,-3.392828,-1.183816,1.992664,-3.27457,-1.247662,1.504623,-3.298905,-1.242386,1.391539,-3.351185,-1.247662,1.504623,-3.298905,-0.6080558,1.621282,-3.316138,-0.5970708,0.996302,-3.176755,-0.6166132,0.3121516,-2.865844,-0.8732113,1.609098,-3.309303,-0.8704927,0.9837382,-3.169707,-0.8286248,0.3024095,-2.860379,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,167.8791984,167.8072398,128.2967465,163.0001972,-0.4516767,-0.4614188,1.538004376
2,10182024020250127,-0.7584945,2.89823,-6.335579,-0.7617729,2.77001,-6.302607,-0.769027,2.373026,-6.214629,-0.7740802,1.823606,-6.117723,-0.7617729,2.77001,-6.302607,-0.7617729,2.77001,-6.302607,-0.7740802,1.823606,-6.117723,-0.7740802,1.823606,-6.117723,-0.4690505,2.688653,-6.279696,-0.261512,2.32691,-6.044948,-0.2437012,1.946026,-5.993523,-0.2697505,1.806278,-5.974324,-0.2437012,1.946026,-5.993523,-1.108659,2.675008,-6.240256,-1.17521,2.193921,-6.172763,-1.245588,1.705403,-6.203126,-1.252227,1.574444,-6.23901,-1.245588,1.705403,-6.203126,-0.6437536,1.83218,-6.176894,-0.6592864,1.205664,-6.031564,-0.7072016,0.5233119,-5.715383,-0.9063823,1.823897,-6.17332,-0.9005836,1.198054,-6.02828,-0.8627583,0.5184057,-5.713266,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,167.9952355,167.9505343,146.502107,168.5635121,-0.2405164,-0.2454226,1.5402971
3,10182024020250438,-0.756655,2.898548,-6.334106,-0.7598791,2.770144,-6.301632,-0.7673005,2.372686,-6.214965,-0.7726512,1.82218,-6.120518,-0.7598791,2.770144,-6.301632,-0.7598791,2.770144,-6.301632,-0.7726512,1.82218,-6.120518,-0.7726512,1.82218,-6.120518,-0.4649412,2.687976,-6.276047,-0.2635254,2.320419,-6.043235,-0.2418335,1.942,-5.996428,-0.2703249,1.804368,-5.97511,-0.2418335,1.942,-5.996428,-1.105113,2.667687,-6.247985,-1.176275,2.188758,-6.177537,-1.238764,1.699821,-6.215207,-1.243435,1.566163,-6.247006,-1.238764,1.699821,-6.215207,-0.6422625,1.830629,-6.178739,-0.6573786,1.204617,-6.032118,-0.708417,0.5227687,-5.715201,-0.9049213,1.822673,-6.177042,-0.8999866,1.197268,-6.030551,-0.8623337,0.5181067,-5.714207,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,167.9955193,167.9640618,147.455718,167.2979171,-0.2410596,-0.2457216,1.539807401
4,10182024020250799,-0.7558661,2.899026,-6.333021,-0.7586629,2.770329,-6.30091,-0.7658506,2.372364,-6.215206,-0.7703086,1.820558,-6.121872,-0.7586629,2.770329,-6.30091,-0.7586629,2.770329,-6.30091,-0.7703086,1.820558,-6.121872,-0.7703086,1.820558,-6.121872,-0.4610696,2.687636,-6.271784,-0.2664625,2.316378,-6.037933,-0.2419761,1.941014,-5.995957,-0.2715067,1.80999,-5.973937,-0.2419761,1.941014,-5.995957,-1.102341,2.659985,-6.257536,-1.178569,2.183719,-6.181301,-1.236091,1.696209,-6.218941,-1.238069,1.561426,-6.24668,-1.236091,1.696209,-6.218941,-0.6393651,1.828748,-6.178375,-0.6507543,1.203375,-6.031152,-0.7035967,0.5222373,-5.714043,-0.902825,1.821278,-6.179624,-0.8995771,1.196319,-6.032331,-0.8620095,0.5177455,-5.714794,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,167.9149715,167.9113649,147.9223243,166.4274918,-0.241591,-0.2460828,1.538611259
5,10182024020251127,-0.754486,2.902532,-6.328801,-0.7557349,2.773785,-6.295663,-0.7587566,2.375431,-6.20728,-0.7574478,1.823679,-6.106721,-0.7557349,2.773785,-6.295663,-0.7557349,2.773785,-6.295663,-0.7574478,1.823679,-6.106721,-0.7574478,1.823679,-6.106721,-0.4427938,2.690962,-6.250042,-0.2628295,2.309349,-6.031166,-0.2309663,1.908352,-6.017362,-0.2430444,1.774779,-6.023937,-0.2309663,1.908352,-6.017362,-1.098426,2.658219,-6.259137,-1.177954,2.182948,-6.179083,-1.228692,1.696418,-6.216799,-1.225492,1.559872,-6.237192,-1.228692,1.696418,-6.216799,-0.6263018,1.831281,-6.160385,-0.6104827,1.201545,-6.029646,-0.6560395,0.5225469,-5.710587,-0.8908272,1.824837,-6.167139,-0.8991209,1.194514,-6.037016,-0.8615855,0.5175399,-5.715835,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,165.7058749,165.8212731,147.7405143,165.7147834,-0.2412814,-0.2462884,1.540337505
6,10182024020251429,-0.7328516,2.914999,-6.294728,-0.7307403,2.786293,-6.256003,-0.7248664,2.386782,-6.152037,-0.7171057,1.835297,-6.027903,-0.7307403,2.786293,-6.256003,-0.7307403,2.786293,-6.256003,-0.7171057,1.835297,-6.027903,-0.7171057,1.835297,-6.027903,-0.4028067,2.692589,-6.202922,-0.2762849,2.253601,-6.048366,-0.2478423,1.748898,-6.105751,-0.2669997,1.620758,-6.160976,-0.2478423,1.748898,-6.105751,-1.068219,2.66257,-6.231897,-1.15459,2.190441,-6.138421,-1.208147,1.705794,-6.179753,-1.215212,1.567302,-6.204237,-1.208147,1.705794,-6.179753,-0.5883498,1.83892,-6.080852,-0.4983531,1.18815,-6.046456,-0.4943093,0.5250468,-5.697917,-0.8497293,1.840011,-6.088938,-0.9089638,1.189864,-6.059159,-0.9045272,0.5267587,-5.710608,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,154.2475669,154.322665,151.8225823,163.6272853,-0.2387815,-0.2370696,1.548732481
7,10182024020251766,-0.7753553,2.933476,-6.248925,-0.7709338,2.803226,-6.211693,-0.7578186,2.399324,-6.113142,-0.7411418,1.843477,-5.996041,-0.7709338,2.803226,-6.211693,-0.7709338,2.803226,-6.211693,-0.7411418,1.843477,-5.996041,-0.7411418,1.843477,-5.996041,-0.4426037,2.704446,-6.142146,-0.3573822,2.238316,-6.017521,-0.3404367,1.740487,-6.065138,-0.3668342,1.604592,-6.071568,-0.3404367,1.740487,-6.065138,-1.103177,2.6662,-6.208491,-1.193545,2.19223,-6.122623,-1.22961,1.708018,-6.169924,-1.245598,1.578463,-6.208833,-1.22961,1.708018,-6.169924,-0.6126957,1.849397,-6.045894,-0.4893912,1.213724,-5.946,-0.4577902,0.5351781,-5.636079,-0.8719508,1.845554,-6.060271,-0.9452874,1.206966,-5.971282,-0.9527643,0.5278412,-5.663528,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,162.3618811,162.5602489,158.1502853,163.0457832,-0.2286502,-0.2359871,1.540298152
8,10182024020252129,-0.8191819,2.92424,-6.343488,-0.8147143,2.793389,-6.307647,-0.8014657,2.387681,-6.213858,-0.7848924,1.829172,-6.105087,-0.8147143,2.793389,-6.307647,-0.8147143,2.793389,-6.307647,-0.7848924,1.829172,-6.105087,-0.7848924,1.829172,-6.105087,-0.4889925,2.691704,-6.234716,-0.4034064,2.220819,-6.117694,-0.3759075,1.726248,-6.14487,-0.3964973,1.591112,-6.154603,-0.3759075,1.726248,-6.14487,-1.148076,2.650813,-6.308775,-1.240016,2.175677,-6.229856,-1.262122,1.691238,-6.290035,-1.270666,1.564349,-6.331337,-1.262122,1.691238,-6.290035,-0.6555088,1.837189,-6.153623,-0.5601959,1.207071,-6.036126,-0.5351439,0.5239671,-5.736413,-0.9146757,1.828954,-6.170696,-0.9637613,1.194248,-6.062711,-0.969398,0.5101694,-5.76502,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,165.3914473,165.6070773,161.7021826,161.6725103,-0.2398612,-0.2536589,1.537185905
9,10182024020252436,-0.8421199,2.928494,-6.33293,-0.8380213,2.797673,-6.29735,-0.8261811,2.39235,-6.203912,-0.8118244,1.83498,-6.094255,-0.8380213,2.797673,-6.29735,-0.8380213,2.797673,-6.29735,-0.8118244,1.83498,-6.094255,-0.8118244,1.83498,-6.094255,-0.5141793,2.697716,-6.219408,-0.4313567,2.231015,-6.09602,-0.393933,1.73784,-6.131699,-0.4149909,1.60379,-6.146086,-0.393933,1.73784,-6.131699,-1.16982,2.653764,-6.300409,-1.260393,2.177961,-6.223639,-1.279873,1.69307,-6.284008,-1.285929,1.564775,-6.323533,-1.279873,1.69307,-6.284008,-0.6830009,1.844155,-6.140162,-0.6040996,1.212667,-6.020192,-0.5946622,0.5263247,-5.724979,-0.9401774,1.833329,-6.162394,-0.9756988,1.197024,-6.052315,-0.9773297,0.5102159,-5.758059,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,166.0297209,166.2920941,160.4417225,161.8201732,-0.2375036,-0.2536124,1.539251576
10,10182024020252771,-0.9280896,2.931146,-6.264447,-0.9250317,2.804097,-6.212996,-0.914189,2.412243,-6.068491,-0.8949128,1.876424,-5.886887,-0.9250317,2.804097,-6.212996,-0.9250317,2.804097,-6.212996,-0.8949128,1.876424,-5.886887,-0.8949128,1.876424,-5.886887,-0.6151895,2.74056,-6.08304,-0.532769,2.310465,-5.88175,-0.4768157,1.831728,-5.85842,-0.4868087,1.691036,-5.836838,-0.4768157,1.831728,-5.85842,-1.239226,2.664466,-6.247532,-1.329041,2.191207,-6.160633,-1.328556,1.704243,-6.194919,-1.317541,1.566484,-6.195925,-1.328556,1.704243,-6.194919,-0.7678904,1.89002,-5.919548,-0.6405325,1.251865,-5.83416,-0.6109283,0.532584,-5.644126,-1.018933,1.868428,-5.968537,-1.026183,1.218695,-5.909417,-0.9841416,0.5004835,-5.716955,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,168.5935763,169.4645293,157.7172776,162.1418024,-0.2312443,-0.2633448,1.545896823
11,10182024020253110,-0.9172713,2.957262,-5.905928,-0.9142215,2.830316,-5.854588,-0.9037739,2.438619,-5.714362,-0.8878053,1.902219,-5.542865,-0.9142215,2.830316,-5.854588,-0.9142215,2.830316,-5.854588,-0.8878053,1.902219,-5.542865,-0.8878053,1.902219,-5.542865,-0.5889586,2.763156,-5.746326,-0.4897223,2.341597,-5.539608,-0.4241533,1.87892,-5.414887,-0.4118414,1.738073,-5.368293,-0.4241533,1.87892,-5.414887,-1.236119,2.707561,-5.866981,-1.335317,2.245014,-5.752063,-1.357165,1.760142,-5.788357,-1.34859,1.621874,-5.805297,-1.357165,1.760142,-5.788357,-0.7622579,1.907478,-5.57973,-0.6250864,1.24795,-5.61659,-0.5522027,0.4945984,-5.574634,-1.010956,1.901102,-5.620278,-1.018224,1.237871,-5.680688,-0.9867181,0.4834583,-5.645478,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,171.1433757,171.5681647,168.3679701,159.7304882,-0.2692299,-0.28037,1.567372139
