GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2,Spatial Conflicts,Temporal Conflicts,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,TotalReach,LeftArmLength,RightArmLength,Total_Reach,Bubble_generators,Skeleton_positions,Total_reach
1,10182024015737001,-0.801434,2.729363,-3.351459,-0.7989296,2.601802,-3.308852,-0.7920318,2.203034,-3.193537,-0.781199,1.655912,-3.054421,-0.7989296,2.601802,-3.308852,-0.7989296,2.601802,-3.308852,-0.781199,1.655912,-3.054421,-0.781199,1.655912,-3.054421,-0.4637332,2.497618,-3.247528,-0.4037846,2.03645,-3.100168,-0.4045952,1.55722,-3.113697,-0.4303228,1.443158,-3.13344,-0.4045952,1.55722,-3.113697,-1.13221,2.462946,-3.340721,-1.208952,1.990873,-3.236759,-1.212033,1.504678,-3.237659,-1.204443,1.36078,-3.269315,-1.212033,1.504678,-3.237659,-0.6533527,1.66227,-3.10048,-0.5902643,1.030896,-2.981527,-0.6159247,0.3237976,-2.739187,-0.9089409,1.656359,-3.12265,-0.9304748,1.023028,-3.011037,-0.8876623,0.3175131,-2.762757,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,168.8091487,169.270061,159.426599,164.817891,-0.4400307,-0.4463152,1.537423977,0.9756444056,0.9672583985,1.537423977,,,1.537423977
2,10182024015738349,-0.762103,2.903526,-6.489825,-0.7573892,2.772982,-6.458222,-0.7436447,2.367212,-6.378992,-0.7268423,1.80647,-6.293093,-0.7573892,2.772982,-6.458222,-0.7573892,2.772982,-6.458222,-0.7268423,1.80647,-6.293093,-0.7268423,1.80647,-6.293093,-0.4141568,2.658954,-6.39759,-0.3513258,2.184336,-6.296496,-0.359984,1.708277,-6.35169,-0.3951643,1.594149,-6.363844,-0.359984,1.708277,-6.35169,-1.082226,2.631155,-6.486207,-1.165894,2.147227,-6.442151,-1.173593,1.658791,-6.480548,-1.170338,1.515967,-6.512209,-1.173593,1.658791,-6.480548,-0.6001828,1.813827,-6.336228,-0.5274796,1.198003,-6.173169,-0.5536868,0.5243069,-5.836559,-0.8554434,1.807757,-6.364119,-0.8907956,1.189364,-6.212865,-0.8741943,0.5166857,-5.871578,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,0,0,165.5374489,166.1191882,159.5933676,166.8972412,-0.2395214,-0.2471426,1.539005448,0.983083082,0.9686419293,1.539005448,,,1.539005448
3,10182024015738435,-0.7627054,2.902091,-6.489599,-0.7578732,2.771798,-6.458521,-0.7438678,2.366537,-6.380404,-0.7271727,1.806031,-6.295269,-0.7578732,2.771798,-6.458521,-0.7578732,2.771798,-6.458521,-0.7271727,1.806031,-6.295269,-0.7271727,1.806031,-6.295269,-0.4142432,2.658517,-6.398472,-0.3513491,2.183821,-6.297658,-0.3609221,1.705717,-6.351022,-0.3982939,1.588149,-6.363116,-0.3609221,1.705717,-6.351022,-1.082605,2.630342,-6.48696,-1.166052,2.14631,-6.44352,-1.17415,1.657843,-6.481835,-1.173279,1.513272,-6.509402,-1.17415,1.657843,-6.481835,-0.6004838,1.813412,-6.338379,-0.5288181,1.197713,-6.17522,-0.5554758,0.524717,-5.83775,-0.8557771,1.807312,-6.366319,-0.8905602,1.18907,-6.214809,-0.874309,0.5170989,-5.872643,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,0,0,165.5125994,166.0881312,159.7990118,167.0075286,-0.2391113,-0.2467294,1.538663199,0.9831239716,0.9705099814,1.538663199,,,1.538663199
4,10182024015738597,-0.7643039,2.899779,-6.489687,-0.7594597,2.769738,-6.459142,-0.7454693,2.365261,-6.38232,-0.7295571,1.805623,-6.297795,-0.7594597,2.769738,-6.459142,-0.7594597,2.769738,-6.459142,-0.7295571,1.805623,-6.297795,-0.7295571,1.805623,-6.297795,-0.4177621,2.657358,-6.398871,-0.3527664,2.183027,-6.298593,-0.3636651,1.701316,-6.347299,-0.402541,1.579128,-6.361311,-0.3636651,1.701316,-6.347299,-1.085661,2.628368,-6.487172,-1.168188,2.144221,-6.44365,-1.178449,1.655629,-6.479472,-1.181638,1.50894,-6.497961,-1.178449,1.655629,-6.479472,-0.6026793,1.81307,-6.341132,-0.5346681,1.197473,-6.178609,-0.562914,0.5253584,-5.840876,-0.8582614,1.806843,-6.368583,-0.8911894,1.188787,-6.216901,-0.8746295,0.5177643,-5.874356,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,0,0,165.5436658,166.0937537,160.208095,167.4592736,-0.2384699,-0.246064,1.537719768,0.9830658176,0.9734420753,1.537719768,,,1.537719768
5,10182024015738835,-0.7683045,2.896405,-6.490351,-0.7637715,2.766642,-6.460056,-0.7507654,2.363388,-6.383542,-0.7365732,1.805945,-6.297903,-0.7637715,2.766642,-6.460056,-0.7637715,2.766642,-6.460056,-0.7365732,1.805945,-6.297903,-0.7365732,1.805945,-6.297903,-0.4288596,2.655432,-6.399528,-0.3581572,2.182342,-6.29816,-0.3693365,1.696395,-6.340418,-0.4074419,1.568539,-6.359321,-0.3693365,1.696395,-6.340418,-1.095437,2.625347,-6.484439,-1.174698,2.141194,-6.438111,-1.189546,1.652818,-6.468047,-1.194851,1.505142,-6.480083,-1.189546,1.652818,-6.468047,-0.6092635,1.81359,-6.342325,-0.5489456,1.198263,-6.181012,-0.5782893,0.5262418,-5.846938,-0.8655239,1.806932,-6.367455,-0.8941652,1.189294,-6.214866,-0.8753871,0.5185231,-5.876072,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,0,0,165.993099,166.4751286,160.4536331,168.3302168,-0.2375865,-0.2453052,1.535077061,0.9822984669,0.9768757256,1.535077061,,,1.535077061
6,10182024015739017,-0.7712752,2.894387,-6.490874,-0.7670425,2.7648,-6.460556,-0.7549646,2.362382,-6.383584,-0.7417753,1.806583,-6.296545,-0.7670425,2.7648,-6.460556,-0.7670425,2.7648,-6.460556,-0.7417753,1.806583,-6.296545,-0.7417753,1.806583,-6.296545,-0.4350296,2.654886,-6.401414,-0.3625564,2.182733,-6.297798,-0.3728134,1.694776,-6.33642,-0.4097114,1.564492,-6.358769,-0.3728134,1.694776,-6.33642,-1.102189,2.62373,-6.481989,-1.179172,2.139607,-6.433391,-1.196542,1.651541,-6.460713,-1.200621,1.504335,-6.475067,-1.196542,1.651541,-6.460713,-0.6142807,1.814452,-6.341866,-0.5587321,1.199343,-6.181035,-0.5876621,0.5269481,-5.850323,-0.8707591,1.807323,-6.365149,-0.8965516,1.189953,-6.211701,-0.876394,0.5189224,-5.876534,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,0,0,166.4078102,166.8403183,160.5458125,168.7126791,-0.2368802,-0.2449059,1.533122295,0.9817472544,0.9783820063,1.533122295,,,1.533122295
7,10182024015739240,-0.7724973,2.89365,-6.491298,-0.7684711,2.764116,-6.460936,-0.7570631,2.362015,-6.383512,-0.7443635,1.806966,-6.295571,-0.7684711,2.764116,-6.460936,-0.7684711,2.764116,-6.460936,-0.7443635,1.806966,-6.295571,-0.7443635,1.806966,-6.295571,-0.4376228,2.654577,-6.402637,-0.3648089,2.182923,-6.297692,-0.3745523,1.694091,-6.334694,-0.4107669,1.56239,-6.358538,-0.3745523,1.694091,-6.334694,-1.104917,2.62302,-6.48107,-1.181236,2.138966,-6.431125,-1.199618,1.651065,-6.458065,-1.203147,1.504796,-6.4744,-1.199618,1.651065,-6.458065,-0.6168047,1.814969,-6.341368,-0.5636517,1.199996,-6.180583,-0.5920614,0.5273036,-5.85171,-0.8733167,1.807559,-6.363703,-0.8976828,1.190346,-6.209667,-0.8770904,0.51907,-5.876528,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,0,0,166.6542303,167.0605139,160.5821069,168.7416244,-0.2365247,-0.2447583,1.532134973,0.9815620188,0.9789710945,1.532134973,,,1.532134973
8,10182024015739452,-0.7733713,2.893709,-6.491798,-0.7696456,2.764055,-6.461318,-0.7590955,2.362123,-6.383087,-0.746878,1.807719,-6.293527,-0.7696456,2.764055,-6.461318,-0.7696456,2.764055,-6.461318,-0.746878,1.807719,-6.293527,-0.746878,1.807719,-6.293527,-0.4407083,2.653833,-6.402848,-0.367716,2.182667,-6.297092,-0.3765346,1.692858,-6.332203,-0.411698,1.559095,-6.357874,-0.3765346,1.692858,-6.332203,-1.107575,2.622126,-6.480036,-1.183487,2.138335,-6.428069,-1.203488,1.650573,-6.455482,-1.20668,1.509154,-6.478976,-1.203488,1.650573,-6.455482,-0.6192708,1.816035,-6.339916,-0.5687166,1.201427,-6.178614,-0.5952691,0.5280406,-5.852738,-0.8757659,1.807973,-6.361088,-0.8985023,1.19106,-6.205835,-0.8782127,0.5191468,-5.876093,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,0,0,167.0870446,167.4605368,160.7302639,168.6423086,-0.2357877,-0.2446815,1.530814969,0.9814010614,0.979519449,1.530814969,,,1.530814969
9,10182024015739660,-0.7714128,2.896492,-6.49017,-0.7679701,2.766452,-6.459518,-0.7579387,2.363709,-6.380694,-0.7456607,1.808668,-6.290484,-0.7679701,2.766452,-6.459518,-0.7679701,2.766452,-6.459518,-0.7456607,1.808668,-6.290484,-0.7456607,1.808668,-6.290484,-0.4396608,2.653501,-6.399264,-0.3683316,2.182059,-6.295661,-0.3753529,1.693275,-6.328847,-0.4095829,1.559009,-6.354825,-0.3753529,1.693275,-6.328847,-1.106231,2.62218,-6.477655,-1.182873,2.138601,-6.425207,-1.204768,1.650631,-6.454263,-1.206454,1.511995,-6.480427,-1.204768,1.650631,-6.454263,-0.6180588,1.817246,-6.337043,-0.5666317,1.202741,-6.176089,-0.5911214,0.5287318,-5.852237,-0.8745934,1.808621,-6.357936,-0.8978825,1.191604,-6.203069,-0.8787058,0.5190632,-5.87566,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,0,0,167.2406478,167.6099315,161.3351497,168.5146024,-0.2350965,-0.2447651,1.530340795,0.9817403143,0.977892991,1.530340795,,,1.530340795
10,10182024015739821,-0.7664754,2.901199,-6.485397,-0.7633325,2.770706,-6.45459,-0.7539777,2.366676,-6.37535,-0.7419745,1.810199,-6.285111,-0.7633325,2.770706,-6.45459,-0.7633325,2.770706,-6.45459,-0.7419745,1.810199,-6.285111,-0.7419745,1.810199,-6.285111,-0.435547,2.653409,-6.391569,-0.366707,2.181228,-6.291226,-0.3719603,1.692575,-6.323195,-0.404916,1.558058,-6.34889,-0.3719603,1.692575,-6.323195,-1.100684,2.623533,-6.471846,-1.179013,2.140207,-6.419352,-1.203932,1.651999,-6.451335,-1.204291,1.514613,-6.478855,-1.203932,1.651999,-6.451335,-0.6144102,1.819025,-6.331627,-0.5616977,1.204384,-6.171721,-0.5845913,0.5293833,-5.850876,-0.8710348,1.809825,-6.352693,-0.8959336,1.192401,-6.199159,-0.8790081,0.5188284,-5.875044,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,0,0,167.3691368,167.748353,162.04344,168.3106867,-0.234445,-0.2449999,1.53008674,0.9823265704,0.9773348333,1.53008674,,,1.53008674
