GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_2,Temporal_2,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach,Spatial_1,Temporal_1
1,12182024122156577,-0.683524,2.882664,-2.824974,-0.6802891,2.741449,-2.804228,-0.6714712,2.303699,-2.758403,-0.659922,1.699696,-2.715813,-0.6802891,2.741449,-2.804228,-0.6802891,2.741449,-2.804228,-0.659922,1.699696,-2.715813,-0.659922,1.699696,-2.715813,-0.3233342,2.63688,-2.815742,-0.1804453,2.078771,-2.765753,-0.1761845,1.612365,-2.818394,-0.199649,1.509233,-2.827103,-0.1761845,1.612365,-2.818394,-1.044598,2.601239,-2.834724,-1.175152,2.087368,-2.827514,-1.14953,1.620866,-2.876016,-1.11257,1.525739,-2.87075,-1.14953,1.620866,-2.876016,-0.495268,1.698519,-2.778789,-0.4581515,0.9887352,-2.541181,-0.3340014,0.2277188,-2.173731,-0.8293483,1.709276,-2.793565,-0.8441586,1.001165,-2.558254,-0.9643279,0.2480156,-2.201609,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,170.9068522,170.1011877,162.0912234,161.3795441,-0.5361095,-0.5158127,1.779862789,0,0
2,12182024122157625,-0.8044567,3.094211,-6.367159,-0.8010401,2.952748,-6.346216,-0.7911809,2.514565,-6.299968,-0.7779378,1.91025,-6.256935,-0.8010401,2.952748,-6.346216,-0.8010401,2.952748,-6.346216,-0.7779378,1.91025,-6.256935,-0.7779378,1.91025,-6.256935,-0.4414381,2.847152,-6.361959,-0.2951364,2.290459,-6.305806,-0.2899562,1.823438,-6.358562,-0.3138269,1.720139,-6.380774,-0.2899562,1.823438,-6.358562,-1.161824,2.810908,-6.381953,-1.292331,2.294224,-6.372565,-1.265271,1.827149,-6.42136,-1.23007,1.732199,-6.42231,-1.265271,1.827149,-6.42136,-0.6133657,1.909453,-6.319285,-0.5727488,1.196752,-6.082414,-0.4427861,0.4136233,-5.699376,-0.9471719,1.91933,-6.335464,-0.9623438,1.20828,-6.101295,-1.086832,0.4326812,-5.73059,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,170.6561706,169.8396908,161.5024317,161.1988825,-0.350205,-0.3311471,1.809538264,0,0
3,12182024122157962,-0.804036,3.095631,-6.366878,-0.8005985,2.953964,-6.34592,-0.790453,2.515321,-6.29978,-0.7761041,1.910282,-6.25769,-0.8005985,2.953964,-6.34592,-0.8005985,2.953964,-6.34592,-0.7761041,1.910282,-6.25769,-0.7761041,1.910282,-6.25769,-0.4402037,2.84414,-6.367643,-0.2949624,2.290259,-6.30756,-0.2898978,1.823119,-6.361822,-0.3135713,1.719264,-6.384663,-0.2898978,1.823119,-6.361822,-1.160631,2.811521,-6.385437,-1.293302,2.29352,-6.375109,-1.267935,1.826279,-6.429273,-1.231924,1.731547,-6.432283,-1.267935,1.826279,-6.429273,-0.6116584,1.90928,-6.319667,-0.5672494,1.196143,-6.080728,-0.4397791,0.4201492,-5.703783,-0.9452448,1.919574,-6.336732,-0.9624768,1.208339,-6.100947,-1.083236,0.4400059,-5.736701,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,171.1014056,170.268095,161.1222046,160.932144,-0.3436791,-0.3238224,1.801219142,0,0
4,12182024122158279,-0.8030113,3.099511,-6.367143,-0.7994814,2.957113,-6.346268,-0.7890351,2.516822,-6.300385,-0.773759,1.9103,-6.259418,-0.7994814,2.957113,-6.346268,-0.7994814,2.957113,-6.346268,-0.773759,1.9103,-6.259418,-0.773759,1.9103,-6.259418,-0.4393426,2.841625,-6.373001,-0.2949381,2.289454,-6.310551,-0.2901357,1.822273,-6.365742,-0.3137389,1.718281,-6.388556,-0.2901357,1.822273,-6.365742,-1.159443,2.812009,-6.389111,-1.293994,2.292873,-6.377656,-1.269247,1.825702,-6.433051,-1.23291,1.730937,-6.435228,-1.269247,1.825702,-6.433051,-0.6094482,1.909087,-6.320991,-0.5613872,1.19563,-6.079588,-0.4343423,0.4218924,-5.704747,-0.9428474,1.91981,-6.338966,-0.9625478,1.208532,-6.101217,-1.082369,0.4427353,-5.739686,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,171.4444155,170.5867533,160.8807499,160.7426678,-0.3419359,-0.321093,1.799284698,0,0
5,12182024122158593,-0.802191,3.104917,-6.36686,-0.7984784,2.961623,-6.346271,-0.7876846,2.518899,-6.301016,-0.7719805,1.910408,-6.2609,-0.7984784,2.961623,-6.346271,-0.7984784,2.961623,-6.346271,-0.7719805,1.910408,-6.2609,-0.7719805,1.910408,-6.2609,-0.4392634,2.841536,-6.373631,-0.2949508,2.288531,-6.313309,-0.2904773,1.821354,-6.369094,-0.3137941,1.716558,-6.390504,-0.2904773,1.821354,-6.369094,-1.15871,2.812336,-6.391173,-1.294254,2.29241,-6.379045,-1.269734,1.82535,-6.43463,-1.233504,1.73043,-6.435878,-1.269734,1.82535,-6.43463,-0.6077412,1.909069,-6.322282,-0.5575045,1.195421,-6.079388,-0.4321394,0.4266956,-5.708164,-0.9410826,1.92004,-6.340663,-0.9625403,1.208752,-6.101723,-1.080555,0.4480363,-5.743918,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,171.7069158,170.8429187,160.9726503,160.654242,-0.3371327,-0.315792,1.79368507,0,0
6,12182024122158936,-0.8019661,3.109327,-6.365727,-0.7980598,2.965567,-6.345407,-0.7868039,2.521112,-6.300918,-0.7709501,1.910685,-6.261524,-0.7980598,2.965567,-6.345407,-0.7980598,2.965567,-6.345407,-0.7709501,1.910685,-6.261524,-0.7709501,1.910685,-6.261524,-0.4400995,2.844035,-6.36826,-0.2949281,2.287978,-6.314525,-0.2905971,1.820818,-6.370317,-0.3137041,1.716846,-6.387777,-0.2905971,1.820818,-6.370317,-1.158294,2.812582,-6.392082,-1.294313,2.292154,-6.379604,-1.269744,1.825036,-6.434707,-1.233468,1.730544,-6.432908,-1.269744,1.825036,-6.434707,-0.6067789,1.90931,-6.3228,-0.5555377,1.195383,-6.079215,-0.430328,0.4275874,-5.708916,-0.9400443,1.920339,-6.341388,-0.9625398,1.208852,-6.101916,-1.080652,0.4491085,-5.745188,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,171.8061488,170.935918,161.4065523,160.6259341,-0.3362409,-0.3147198,1.792888934,0,0
7,12182024122159298,-0.8023721,3.113018,-6.362557,-0.798294,2.969099,-6.342449,-0.7865011,2.523731,-6.298736,-0.7704347,1.911535,-6.260385,-0.798294,2.969099,-6.342449,-0.798294,2.969099,-6.342449,-0.7704347,1.911535,-6.260385,-0.7704347,1.911535,-6.260385,-0.4412631,2.846666,-6.361562,-0.2948913,2.288019,-6.314171,-0.2905324,1.82088,-6.369613,-0.3140109,1.71703,-6.382736,-0.2905324,1.82088,-6.369613,-1.158091,2.813282,-6.390294,-1.293911,2.292139,-6.377923,-1.268956,1.824997,-6.430521,-1.232716,1.730548,-6.424054,-1.268956,1.824997,-6.430521,-0.6063787,1.910258,-6.321737,-0.5539548,1.19567,-6.079212,-0.4268517,0.4281397,-5.708993,-0.9394344,1.92105,-6.34009,-0.9625663,1.20891,-6.101727,-1.081982,0.4493674,-5.745093,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,171.7065275,170.838718,161.8138774,160.745559,-0.3356886,-0.3144609,1.793178033,0,0
8,12182024122159610,-0.8025736,3.116518,-6.35648,-0.7984741,2.972611,-6.336472,-0.7865318,2.526953,-6.29314,-0.7706377,1.913487,-6.255223,-0.7984741,2.972611,-6.336472,-0.7984741,2.972611,-6.336472,-0.7706377,1.913487,-6.255223,-0.7706377,1.913487,-6.255223,-0.4420508,2.849198,-6.354697,-0.2945997,2.288826,-6.311379,-0.2903419,1.821675,-6.366513,-0.3143635,1.717795,-6.37609,-0.2903419,1.821675,-6.366513,-1.157865,2.815094,-6.383253,-1.292763,2.293046,-6.371367,-1.267321,1.825941,-6.419891,-1.231606,1.731546,-6.411041,-1.267321,1.825941,-6.419891,-0.6067783,1.912392,-6.317196,-0.5533029,1.195667,-6.078801,-0.424026,0.4307858,-5.712552,-0.9394088,1.922678,-6.334184,-0.9626829,1.208326,-6.099708,-1.082217,0.4511387,-5.746166,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,171.4949058,170.6640479,162.0382989,161.0086519,-0.3330425,-0.3126896,1.790256223,0,0
9,12182024122159915,-0.8021466,3.120788,-6.348664,-0.7982106,2.977513,-6.32704,-0.7872252,2.534848,-6.273295,-0.7743746,1.926431,-6.208605,-0.7982106,2.977513,-6.32704,-0.7982106,2.977513,-6.32704,-0.7743746,1.926431,-6.208605,-0.7743746,1.926431,-6.208605,-0.4424172,2.853757,-6.344766,-0.2932029,2.293937,-6.286932,-0.2892986,1.826604,-6.342891,-0.3101381,1.727912,-6.347468,-0.2892986,1.826604,-6.342891,-1.157168,2.818663,-6.372476,-1.293085,2.302791,-6.340441,-1.267434,1.837561,-6.363599,-1.234958,1.748481,-6.337893,-1.267434,1.837561,-6.363599,-0.6114764,1.927518,-6.268546,-0.5548642,1.188419,-6.041132,-0.4418786,0.4408754,-5.704369,-0.9420344,1.932904,-6.289653,-0.9718664,1.195213,-6.067759,-1.083019,0.4513216,-5.745306,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,172.0055548,171.3014224,160.9003869,161.0231668,-0.3229529,-0.3125067,1.776588943,0,0
10,12182024122200278,-0.7967779,3.068539,-6.291813,-0.7947445,2.931444,-6.246429,-0.79076,2.512065,-6.116961,-0.7880221,1.939285,-5.950804,-0.7947445,2.931444,-6.246429,-0.7947445,2.931444,-6.246429,-0.7880221,1.939285,-5.950804,-0.7880221,1.939285,-5.950804,-0.4298151,2.844414,-6.209177,-0.2764638,2.311528,-5.921711,-0.2162865,1.848567,-5.973637,-0.2298707,1.798674,-5.999869,-0.2162865,1.848567,-5.973637,-1.147366,2.816203,-6.274713,-1.324615,2.320863,-6.001186,-1.358105,1.885399,-5.840604,-1.336747,1.742241,-5.842105,-1.358105,1.885399,-5.840604,-0.6272308,1.944159,-6.011191,-0.4851871,1.156939,-5.9699,-0.4479516,0.4563711,-5.710895,-0.9528027,1.940881,-6.031402,-1.052314,1.15123,-6.005105,-1.089112,0.449917,-5.750695,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,161.3264095,161.5216738,145.229456,164.2490054,-0.3074572,-0.3139113,1.72671291,0,0
