GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_2,Temporal_2,Spatial_1,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach,Temporal_1
1,12182024013843102,-0.7983208,2.629676,-2.956786,-0.7910299,2.51775,-2.943844,-0.7700139,2.16996,-2.919986,-0.7442396,1.688843,-2.906456,-0.7910299,2.51775,-2.943844,-0.7910299,2.51775,-2.943844,-0.7442396,1.688843,-2.906456,-0.7442396,1.688843,-2.906456,-0.4646468,2.426375,-2.913103,-0.400287,1.988913,-2.941625,-0.5431939,1.619345,-3.239677,-0.5120705,1.479159,-3.332552,-0.5431939,1.619345,-3.239677,-1.157112,2.385377,-2.942144,-1.243675,1.964916,-2.972366,-1.068459,1.626245,-3.199531,-1.024666,1.553535,-3.256467,-1.068459,1.626245,-3.199531,-0.5933951,1.713677,-2.953064,-0.9901691,1.215491,-3.497742,-0.5356772,0.7979196,-2.921963,-0.8964831,1.671679,-2.987453,-0.3222262,1.308047,-3.421957,-0.8415865,0.7555301,-2.956672,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,66.15861817,65.33552508,137.1156963,134.5915367,0.0340913,-0.0082982,1.86968124,0
2,12182024013844356,-0.836525,2.816072,-6.255485,-0.8289354,2.704046,-6.243032,-0.8060838,2.357123,-6.220769,-0.7769595,1.877984,-6.208544,-0.8289354,2.704046,-6.243032,-0.8289354,2.704046,-6.243032,-0.7769595,1.877984,-6.208544,-0.7769595,1.877984,-6.208544,-0.4995335,2.616133,-6.210524,-0.4320861,2.178368,-6.238185,-0.5515002,1.827267,-6.51546,-0.5357959,1.689065,-6.615482,-0.5515002,1.827267,-6.51546,-1.190572,2.57289,-6.238894,-1.27633,2.153369,-6.269693,-1.100317,1.814438,-6.497516,-1.073024,1.749334,-6.548502,-1.100317,1.814438,-6.497516,-0.6257552,1.902955,-6.255032,-1.03007,1.397011,-6.794884,-0.5562468,0.9861823,-6.222825,-0.9293808,1.860472,-6.28624,-0.3538225,1.491629,-6.725377,-0.875285,0.9415436,-6.255617,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,65.87342461,65.23319889,138.2510075,134.6262039,0.222354,0.1777153,1.87620919,0
3,12182024013844682,-0.836914,2.81584,-6.262004,-0.8290321,2.703792,-6.247731,-0.8056856,2.35702,-6.222672,-0.7729644,1.879116,-6.209051,-0.8290321,2.703792,-6.247731,-0.8290321,2.703792,-6.247731,-0.7729644,1.879116,-6.209051,-0.7729644,1.879116,-6.209051,-0.4995944,2.617134,-6.212983,-0.4308342,2.178506,-6.238546,-0.5547205,1.850777,-6.520339,-0.5372558,1.708377,-6.607563,-0.5547205,1.850777,-6.520339,-1.19064,2.572656,-6.2398,-1.276241,2.1532,-6.27013,-1.10009,1.814383,-6.497684,-1.072347,1.749102,-6.549013,-1.10009,1.814383,-6.497684,-0.6201576,1.904938,-6.255166,-1.01197,1.383214,-6.796539,-0.5041703,0.9382752,-6.269904,-0.9268416,1.860765,-6.28637,-0.3554139,1.47778,-6.729735,-0.8868538,0.8831556,-6.308842,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,69.69371631,69.15935091,135.4252233,134.5934178,0.1744469,0.1193273,1.893338496,0
4,12182024013845002,-0.8356065,2.789582,-6.400844,-0.8260587,2.679925,-6.366836,-0.7985503,2.341239,-6.28431,-0.7652848,1.875313,-6.216494,-0.8260587,2.679925,-6.366836,-0.8260587,2.679925,-6.366836,-0.7652848,1.875313,-6.216494,-0.7652848,1.875313,-6.216494,-0.4949892,2.610459,-6.32801,-0.4115601,2.168798,-6.284437,-0.5320892,1.865833,-6.518872,-0.5425159,1.725461,-6.603806,-0.5320892,1.865833,-6.518872,-1.178224,2.569479,-6.354641,-1.274121,2.143091,-6.30963,-1.089381,1.803586,-6.508796,-1.042763,1.736298,-6.558954,-1.089381,1.803586,-6.508796,-0.6100643,1.899733,-6.2661,-0.9772728,1.340861,-6.790988,-0.3691445,0.8754363,-6.381961,-0.9215683,1.857889,-6.290318,-0.3771098,1.42148,-6.744328,-0.9554696,0.7966763,-6.427545,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,76.05284132,75.75819761,128.7605779,128.1783155,0.111608,0.032848,1.914614842,0
5,12182024013845367,-0.8487378,2.717807,-6.719219,-0.8416958,2.613874,-6.648722,-0.8179224,2.292513,-6.455009,-0.7772357,1.85417,-6.240722,-0.8416958,2.613874,-6.648722,-0.8416958,2.613874,-6.648722,-0.7772357,1.85417,-6.240722,-0.7772357,1.85417,-6.240722,-0.5315419,2.585273,-6.652078,-0.3982198,2.119705,-6.530152,-0.613826,1.76812,-6.826456,-0.6747147,1.716427,-6.901243,-0.613826,1.76812,-6.826456,-1.188289,2.554124,-6.63203,-1.288043,2.106632,-6.518693,-1.016029,1.719185,-6.651213,-0.9053546,1.569257,-6.655881,-1.016029,1.719185,-6.651213,-0.6306983,1.874276,-6.301351,-1.018031,1.150223,-6.731535,-0.3182729,0.7682688,-6.481623,-0.926394,1.841857,-6.303823,-0.3903986,1.219034,-6.726289,-1.006459,0.692818,-6.487376,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,82.43268966,82.38677278,112.9317183,124.4170693,0.0044405,-0.0710103,1.931067492,0
6,12182024013845692,-0.8752571,2.605781,-7.150925,-0.8707618,2.508337,-7.067565,-0.8558046,2.204748,-6.836493,-0.8395302,1.795552,-6.54683,-0.8707618,2.508337,-7.067565,-0.8707618,2.508337,-7.067565,-0.8395302,1.795552,-6.54683,-0.8395302,1.795552,-6.54683,-0.5701786,2.48379,-7.079157,-0.4349667,2.030522,-6.919088,-0.641116,1.704075,-7.101032,-0.7285991,1.658226,-7.201722,-0.641116,1.704075,-7.101032,-1.220254,2.461528,-7.054654,-1.324656,2.000078,-6.89774,-1.091228,1.585081,-6.955964,-1.010074,1.447967,-6.920506,-1.091228,1.585081,-6.955964,-0.6978675,1.792771,-6.623026,-0.651686,1.052451,-6.868016,-0.5862536,0.4139968,-6.496218,-0.9791187,1.808439,-6.591279,-1.163801,1.080982,-6.810211,-1.196153,0.4479752,-6.427375,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,131.5885853,131.3737708,115.2664747,131.3590964,-0.3498315,-0.3158531,1.683761957,0
7,12182024013846020,-0.8720318,2.609372,-7.329154,-0.8682499,2.513603,-7.247503,-0.856488,2.214918,-7.019678,-0.8425416,1.805549,-6.737736,-0.8682499,2.513603,-7.247503,-0.8682499,2.513603,-7.247503,-0.8425416,1.805549,-6.737736,-0.8425416,1.805549,-6.737736,-0.5645275,2.472641,-7.261523,-0.4340873,2.02137,-7.106225,-0.6128355,1.718317,-7.249391,-0.7305706,1.646214,-7.357102,-0.6128355,1.718317,-7.249391,-1.220371,2.461935,-7.22132,-1.29653,1.997576,-7.061267,-1.124669,1.5849,-7.042496,-1.045895,1.445388,-7.010726,-1.124669,1.5849,-7.042496,-0.7011564,1.795478,-6.806581,-0.5519273,0.9933854,-6.873665,-0.5180442,0.3705271,-6.429286,-0.9825839,1.826794,-6.789164,-1.223224,1.068086,-6.832119,-1.211028,0.4476405,-6.386397,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,139.2324492,137.4484512,119.0342444,144.7207579,-0.3933012,-0.3161878,1.742068583,0
8,12182024013846322,-0.8452702,2.654082,-7.42696,-0.8465201,2.552542,-7.356378,-0.8459371,2.246036,-7.160638,-0.8462874,1.828482,-6.938761,-0.8465201,2.552542,-7.356378,-0.8465201,2.552542,-7.356378,-0.8462874,1.828482,-6.938761,-0.8462874,1.828482,-6.938761,-0.5397872,2.485079,-7.374364,-0.4116609,2.040913,-7.239452,-0.5624232,1.735478,-7.41455,-0.660137,1.695474,-7.548275,-0.5624232,1.735478,-7.41455,-1.207784,2.485577,-7.329805,-1.267985,2.031063,-7.18976,-1.149347,1.642654,-7.148926,-1.083813,1.517199,-7.134192,-1.149347,1.642654,-7.148926,-0.6943575,1.827446,-7.005656,-0.6240284,1.162307,-6.991683,-0.5216362,0.4133744,-6.432483,-0.995831,1.841674,-6.9837,-1.127747,1.18608,-6.954998,-1.205539,0.4456503,-6.382675,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,144.6663527,144.5609094,120.1826038,153.4981183,-0.3504539,-0.318178,1.775260908,0
9,12182024013846673,-0.8002795,2.676511,-7.403907,-0.8034295,2.565006,-7.346705,-0.8096598,2.223212,-7.186059,-0.8122275,1.749485,-6.989116,-0.8034295,2.565006,-7.346705,-0.8034295,2.565006,-7.346705,-0.8122275,1.749485,-6.989116,-0.8122275,1.749485,-6.989116,-0.493864,2.499305,-7.34512,-0.3646159,2.034192,-7.248654,-0.4753481,1.738073,-7.500103,-0.5560724,1.721232,-7.669052,-0.4753481,1.738073,-7.500103,-1.149744,2.48077,-7.327706,-1.228203,2.02936,-7.238586,-1.155105,1.641618,-7.202552,-1.083957,1.530535,-7.199822,-1.155105,1.641618,-7.202552,-0.6605246,1.748274,-7.043466,-0.5566412,1.175259,-7.043565,-0.4371368,0.365471,-6.410692,-0.9643078,1.76433,-7.046109,-1.079331,1.202886,-7.048113,-1.20195,0.4058952,-6.417347,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,142.2407585,141.6771058,119.9109957,158.8720834,-0.3983573,-0.3579331,1.778186682,0
10,12182024013847006,-0.7647528,2.594397,-7.349909,-0.7639836,2.476241,-7.291297,-0.7610294,2.109314,-7.129457,-0.7559641,1.604796,-6.93132,-0.7639836,2.476241,-7.291297,-0.7639836,2.476241,-7.291297,-0.7559641,1.604796,-6.93132,-0.7559641,1.604796,-6.93132,-0.4594592,2.418768,-7.278919,-0.3175832,1.97973,-7.217814,-0.4169278,1.792393,-7.62812,-0.4518951,1.789083,-7.744251,-0.4169278,1.792393,-7.62812,-1.093892,2.389465,-7.285393,-1.170238,1.927249,-7.210378,-1.104068,1.533138,-7.186195,-1.035005,1.457196,-7.163417,-1.104068,1.533138,-7.186195,-0.613897,1.612113,-6.982601,-0.4434609,1.101745,-7.043684,-0.1566796,0.0644021,-7.067809,-0.9008448,1.618657,-6.994535,-1.042603,1.115408,-7.068602,-1.286783,0.0901742,-7.114809,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,0,174.0007912,173.9804402,101.5613665,160.3857534,-0.6994262,-0.6736541,1.769271411,0
