GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_2_b,Temporal_2_b,Spatial_2,Temporal_2,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach,Spatial_1,Temporal_1
1,12182024020944626,-0.5478283,3.206673,-2.447147,-0.5449744,3.093086,-2.386074,-0.533573,2.740747,-2.218865,-0.5196813,2.254963,-2.01152,-0.5449744,3.093086,-2.386074,-0.5449744,3.093086,-2.386074,-0.5196813,2.254963,-2.01152,-0.5196813,2.254963,-2.01152,-0.2163426,2.995793,-2.346366,-0.1212373,2.515799,-2.283616,-0.2987504,2.20257,-2.477547,-0.3780266,2.140732,-2.526429,-0.2987504,2.20257,-2.477547,-0.8816884,2.980334,-2.354337,-0.962306,2.557001,-2.299,-0.7967458,2.158837,-2.499159,-0.7200007,2.092227,-2.554988,-0.7967458,2.158837,-2.499159,-0.360397,2.253941,-2.073547,-0.05879277,1.871342,-2.609474,0.03357351,1.017762,-2.451382,-0.6865986,2.24686,-2.072483,-0.9660882,1.851649,-2.606514,-1.011719,0.9950733,-2.447972,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,1,0,0,1,115.2498515,115.0906581,126.9587744,134.250795,0.2539337,0.231245,1.770965054,0,0
2,12182024020945630,-0.8031014,2.888584,-6.761955,-0.8003806,2.774932,-6.700827,-0.7908173,2.423349,-6.53279,-0.7781909,1.938384,-6.324227,-0.8003806,2.774932,-6.700827,-0.8003806,2.774932,-6.700827,-0.7781909,1.938384,-6.324227,-0.7781909,1.938384,-6.324227,-0.4728179,2.679405,-6.661706,-0.3743399,2.198925,-6.598673,-0.5602396,1.884093,-6.793564,-0.6397361,1.824487,-6.84526,-0.5602396,1.884093,-6.793564,-1.137014,2.664212,-6.669036,-1.219054,2.241069,-6.613097,-1.045571,1.850913,-6.820597,-0.9749196,1.77259,-6.871931,-1.045571,1.850913,-6.820597,-0.6188288,1.93723,-6.386274,-0.3221444,1.557664,-6.924647,-0.234482,0.7044039,-6.767487,-0.9451103,1.930366,-6.384914,-1.222091,1.538732,-6.920897,-1.267491,0.6826727,-6.763181,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,1,0,0,1,114.9013215,114.8323795,126.0873275,132.4442508,-0.0594244,-0.0811556,1.768726247,0,0
3,12182024020945972,-0.8029844,2.888469,-6.762068,-0.8002429,2.774801,-6.700951,-0.7908309,2.423257,-6.532827,-0.7783573,1.938453,-6.324069,-0.8002429,2.774801,-6.700951,-0.8002429,2.774801,-6.700951,-0.7783573,1.938453,-6.324069,-0.7783573,1.938453,-6.324069,-0.4730376,2.680172,-6.662002,-0.3738136,2.198926,-6.598866,-0.5603734,1.885313,-6.794009,-0.6400931,1.824408,-6.845694,-0.5603734,1.885313,-6.794009,-1.136794,2.664367,-6.669166,-1.218983,2.241637,-6.613335,-1.04694,1.841156,-6.822614,-0.974387,1.77352,-6.872252,-1.04694,1.841156,-6.822614,-0.6189891,1.937302,-6.3861,-0.3225922,1.558492,-6.92482,-0.2353283,0.7053165,-6.767817,-0.9452641,1.930429,-6.384765,-1.221974,1.539546,-6.921138,-1.267432,0.6835742,-6.763592,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,1,1,114.8360914,114.7791934,125.8600386,133.1030716,-0.0585118,-0.0802541,1.768382049,0,1
4,12182024020946271,-0.8030728,2.888433,-6.762003,-0.8002199,2.774727,-6.700957,-0.7908579,2.42318,-6.532808,-0.7784914,1.938518,-6.323909,-0.8002199,2.774727,-6.700957,-0.8002199,2.774727,-6.700957,-0.7784914,1.938518,-6.323909,-0.7784914,1.938518,-6.323909,-0.4729588,2.680129,-6.662115,-0.3735346,2.198952,-6.598955,-0.5584131,1.886866,-6.793348,-0.638268,1.824167,-6.844994,-0.5584131,1.886866,-6.793348,-1.136682,2.664457,-6.669211,-1.218943,2.241932,-6.613452,-1.049932,1.844714,-6.82047,-0.9754986,1.77456,-6.871436,-1.049932,1.844714,-6.82047,-0.619109,1.937344,-6.385954,-0.3229916,1.558921,-6.924999,-0.2360547,0.7057683,-6.768167,-0.9453861,1.9305,-6.384616,-1.221976,1.540064,-6.921311,-1.267463,0.6841336,-6.763935,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,1,1,114.7994533,114.7472874,125.8878268,133.2516557,-0.05806,-0.0796947,1.768255553,0,1
5,12182024020946626,-0.8033812,2.888523,-6.761756,-0.8003365,2.774734,-6.700826,-0.7909113,2.423116,-6.532724,-0.7786046,1.938594,-6.32373,-0.8003365,2.774734,-6.700826,-0.8003365,2.774734,-6.700826,-0.7786046,1.938594,-6.32373,-0.7786046,1.938594,-6.32373,-0.4732068,2.680507,-6.662069,-0.373342,2.199118,-6.598893,-0.5561181,1.888281,-6.792191,-0.635644,1.824326,-6.84353,-0.5561181,1.888281,-6.792191,-1.136671,2.664526,-6.669086,-1.218832,2.242002,-6.613355,-1.050422,1.847624,-6.819587,-0.9760609,1.77517,-6.870902,-1.050422,1.847624,-6.819587,-0.6192072,1.937413,-6.385782,-0.3234474,1.559689,-6.924918,-0.236358,0.7065014,-6.768576,-0.945484,1.930571,-6.384461,-1.221741,1.540853,-6.921281,-1.267549,0.6848786,-6.764401,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,1,1,114.7849136,114.7358384,125.9881071,133.1709594,-0.0573269,-0.0789497,1.767795894,0,1
6,12182024020946939,-0.803773,2.888801,-6.761489,-0.8005398,2.774914,-6.700658,-0.7909791,2.423291,-6.532684,-0.7784993,1.939964,-6.324247,-0.8005398,2.774914,-6.700658,-0.8005398,2.774914,-6.700658,-0.7784993,1.939964,-6.324247,-0.7784993,1.939964,-6.324247,-0.4737521,2.681373,-6.661829,-0.373335,2.199264,-6.598708,-0.5547313,1.889154,-6.791544,-0.6330917,1.823985,-6.842105,-0.5547313,1.889154,-6.791544,-1.136732,2.664573,-6.66873,-1.218549,2.241748,-6.612936,-1.050217,1.849705,-6.818583,-0.975917,1.775884,-6.870477,-1.050217,1.849705,-6.818583,-0.6178161,1.939602,-6.386614,-0.3227294,1.562493,-6.925453,-0.2345462,0.7096334,-6.76967,-0.9462147,1.931839,-6.385053,-1.221585,1.541242,-6.921182,-1.267682,0.6852086,-6.764761,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,1,1,114.8207712,114.8679407,126.0447536,133.0933684,-0.0541949,-0.0786197,1.768222678,0,1
7,12182024020947264,-0.8044294,2.889811,-6.760767,-0.8009739,2.776043,-6.700244,-0.7910224,2.425797,-6.533264,-0.7772153,1.947796,-6.328162,-0.8009739,2.776043,-6.700244,-0.8009739,2.776043,-6.700244,-0.7772153,1.947796,-6.328162,-0.7772153,1.947796,-6.328162,-0.4744862,2.682519,-6.661538,-0.3733797,2.199421,-6.598514,-0.5539026,1.889758,-6.79096,-0.6311979,1.824094,-6.840957,-0.5539026,1.889758,-6.79096,-1.136815,2.664587,-6.668283,-1.218215,2.241198,-6.612553,-1.037378,1.840966,-6.825498,-0.9474766,1.755307,-6.885304,-1.037378,1.840966,-6.825498,-0.6110132,1.949243,-6.391009,-0.3174901,1.569296,-6.925757,-0.2230067,0.7172112,-6.770922,-0.9496874,1.939102,-6.389131,-1.220858,1.542244,-6.920747,-1.267811,0.6859245,-6.765127,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,1,1,115.4136755,115.5924943,126.0809946,132.3223281,-0.0466171,-0.0779038,1.771439004,0,1
8,12182024020947601,-0.8060404,2.887393,-6.742321,-0.8017334,2.775378,-6.687484,-0.7904686,2.428084,-6.531556,-0.7748148,1.953221,-6.330825,-0.8017334,2.775378,-6.687484,-0.8017334,2.775378,-6.687484,-0.7748148,1.953221,-6.330825,-0.7748148,1.953221,-6.330825,-0.4749097,2.683186,-6.661384,-0.3735855,2.199888,-6.598119,-0.5534811,1.890709,-6.7908,-0.6185653,1.832408,-6.834831,-0.5534811,1.890709,-6.7908,-1.136912,2.664616,-6.667868,-1.217942,2.240602,-6.612294,-1.037193,1.835099,-6.828105,-0.9621192,1.748908,-6.889691,-1.037193,1.835099,-6.828105,-0.6054096,1.955601,-6.393718,-0.3115098,1.578283,-6.925719,-0.208102,0.7272336,-6.772724,-0.9502233,1.943201,-6.391519,-1.218895,1.545652,-6.919932,-1.267813,0.6891253,-6.765965,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,1,1,115.6946798,115.956096,126.0401595,132.5525785,-0.0365947,-0.074703,1.771268972,0,1
9,12182024020948075,-0.8070154,2.880868,-6.71663,-0.8021998,2.770435,-6.666254,-0.7897855,2.427856,-6.525048,-0.7736866,1.955773,-6.33324,-0.8021998,2.770435,-6.666254,-0.8021998,2.770435,-6.666254,-0.7736866,1.955773,-6.33324,-0.7736866,1.955773,-6.33324,-0.4753809,2.68391,-6.661279,-0.3741599,2.202323,-6.596779,-0.5515599,1.892325,-6.789527,-0.6090587,1.827918,-6.83985,-0.5515599,1.892325,-6.789527,-1.137132,2.664733,-6.667314,-1.217794,2.240165,-6.612201,-1.037383,1.833555,-6.836779,-0.9724958,1.719454,-6.903203,-1.037383,1.833555,-6.836779,-0.6035153,1.958113,-6.396087,-0.3152883,1.588222,-6.924123,-0.2040485,0.737236,-6.774621,-0.9500262,1.945312,-6.3939,-1.212473,1.555078,-6.918462,-1.267207,0.6979604,-6.767913,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,1,1,115.8140391,116.0600207,126.1765297,132.1559454,-0.0265923,-0.0658679,1.763237105,0,1
10,12182024020948255,-0.8072227,2.879345,-6.710177,-0.8023066,2.769137,-6.66044,-0.7895575,2.427527,-6.522234,-0.7733327,1.956441,-6.334102,-0.8023066,2.769137,-6.66044,-0.8023066,2.769137,-6.66044,-0.7733327,1.956441,-6.334102,-0.7733327,1.956441,-6.334102,-0.4756394,2.684332,-6.66125,-0.3743899,2.203554,-6.596024,-0.5507463,1.893209,-6.789051,-0.6064924,1.826889,-6.840923,-0.5507463,1.893209,-6.789051,-1.137241,2.664816,-6.667058,-1.217758,2.240014,-6.612184,-1.045867,1.8362,-6.831537,-0.9816815,1.731345,-6.899864,-1.045867,1.8362,-6.831537,-0.6031008,1.958724,-6.396958,-0.3167044,1.591448,-6.923618,-0.2029077,0.740664,-6.775237,-0.9497662,1.945847,-6.39481,-1.210203,1.558258,-6.91808,-1.266874,0.7011418,-6.768642,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,1,1,115.8385589,116.0745951,126.1903269,132.9367305,-0.0231643,-0.0626865,1.760106076,0,1
