GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2
1,09182024051654345,-0.8501531,2.70213,-4.066523,-0.8531092,2.594976,-3.981409,-0.8602004,2.256929,-3.752078,-0.8641984,1.781288,-3.482854,-0.8531092,2.594976,-3.981409,-0.8531092,2.594976,-3.981409,-0.8641984,1.781288,-3.482854,-0.8641984,1.781288,-3.482854,-0.5454255,2.507123,-3.886199,-0.3492376,2.115848,-3.517036,-0.5325144,1.700683,-3.735321,-0.4839061,1.613907,-3.774796,-0.5325144,1.700683,-3.735321,-1.185398,2.557928,-3.857166,-1.34172,2.118606,-3.524356,-1.396371,1.58986,-3.597802,-1.411411,1.559247,-3.61286,-1.396371,1.58986,-3.597802,-0.7205454,1.781661,-3.544413,-0.4419575,1.419263,-4.139803,-0.8118478,0.7792019,-3.441678,-1.004341,1.789745,-3.546386,-1.298052,1.443651,-4.145757,-0.9368758,0.7827636,-3.442547,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0
2,09182024051656312,-0.7541993,3.210729,-6.53549,-0.7587638,3.08471,-6.480162,-0.7718125,2.69284,-6.327732,-0.7932338,2.15311,-6.140017,-0.7587638,3.08471,-6.480162,-0.7587638,3.08471,-6.480162,-0.7932338,2.15311,-6.140017,-0.7932338,2.15311,-6.140017,-0.4354595,2.961044,-6.393428,-0.2671731,2.474778,-6.197034,-0.2947319,2.006499,-6.328564,-0.2863303,1.933114,-6.354257,-0.2947319,2.006499,-6.328564,-1.087341,2.996083,-6.366994,-1.245784,2.485344,-6.14603,-1.303205,2.016127,-6.153044,-1.292441,1.947635,-6.200085,-1.303205,2.016127,-6.153044,-0.6520423,2.148685,-6.202974,-0.5352165,1.69104,-6.777738,-0.7959448,1.04146,-6.307606,-0.9303479,2.15981,-6.202594,-1.08913,1.713182,-6.776979,-0.8800789,1.044823,-6.30749,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
3,09182024051656404,-0.7519303,3.217726,-6.518727,-0.7565055,3.091825,-6.463551,-0.7697026,2.700276,-6.311902,-0.7907721,2.159612,-6.126736,-0.7565055,3.091825,-6.463551,-0.7565055,3.091825,-6.463551,-0.7907721,2.159612,-6.126736,-0.7907721,2.159612,-6.126736,-0.4338672,2.96969,-6.369617,-0.2684388,2.48156,-6.168775,-0.2947591,2.010385,-6.311712,-0.2855334,1.943479,-6.330727,-0.2947591,2.010385,-6.311712,-1.084663,3.004118,-6.352425,-1.246929,2.49226,-6.128762,-1.305007,2.021913,-6.137802,-1.29435,1.952713,-6.185822,-1.305007,2.021913,-6.137802,-0.6499262,2.154846,-6.18841,-0.515556,1.697555,-6.760041,-0.7785621,1.043914,-6.303534,-0.9277173,2.166264,-6.190635,-1.090784,1.721197,-6.764649,-0.8824911,1.048186,-6.304366,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1
4,09182024051656585,-0.7614877,3.244476,-6.445946,-0.7660334,3.119084,-6.391189,-0.7793395,2.729194,-6.241284,-0.7987568,2.188786,-6.060299,-0.7660334,3.119084,-6.391189,-0.7660334,3.119084,-6.391189,-0.7987568,2.188786,-6.060299,-0.7987568,2.188786,-6.060299,-0.4468329,2.997746,-6.282018,-0.2902656,2.514853,-6.066843,-0.3123948,2.048784,-6.202833,-0.2991741,1.976139,-6.250442,-0.3123948,2.048784,-6.202833,-1.091451,3.031015,-6.28893,-1.260117,2.526762,-6.056775,-1.319223,2.052279,-6.076023,-1.308196,1.975257,-6.132249,-1.319223,2.052279,-6.076023,-0.6588362,2.183695,-6.116421,-0.4574798,1.723798,-6.668981,-0.7220938,1.054913,-6.274642,-0.9346257,2.194416,-6.129767,-1.106427,1.749024,-6.700385,-0.9057456,1.062052,-6.283529,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1
5,09182024051656790,-0.7720021,3.255425,-6.411294,-0.7760183,3.130174,-6.357203,-0.7879708,2.740705,-6.209284,-0.8055813,2.200411,-6.030555,-0.7760183,3.130174,-6.357203,-0.7760183,3.130174,-6.357203,-0.8055813,2.200411,-6.030555,-0.8055813,2.200411,-6.030555,-0.4571716,3.008813,-6.246021,-0.3026134,2.529572,-6.026988,-0.3216568,2.065163,-6.163538,-0.3055753,1.992301,-6.214787,-0.3216568,2.065163,-6.163538,-1.100728,3.042075,-6.257403,-1.269157,2.537807,-6.025631,-1.330648,2.063417,-6.04312,-1.318623,1.992179,-6.097101,-1.330648,2.063417,-6.04312,-0.665673,2.195448,-6.085279,-0.445901,1.734643,-6.631115,-0.6034989,0.9053218,-6.211555,-0.9412463,2.205469,-6.101348,-1.115652,1.758998,-6.670168,-1.027921,0.9207559,-6.236302,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1
6,09182024051656994,-0.7861419,3.265733,-6.375809,-0.7895015,3.140593,-6.322388,-0.799647,2.751416,-6.176585,-0.8148272,2.210793,-6.000871,-0.7895015,3.140593,-6.322388,-0.7895015,3.140593,-6.322388,-0.8148272,2.210793,-6.000871,-0.8148272,2.210793,-6.000871,-0.4706461,3.020656,-6.210005,-0.3137414,2.5443,-5.988417,-0.3295359,2.081272,-6.12764,-0.3125899,2.009191,-6.181098,-0.3295359,2.081272,-6.12764,-1.112859,3.052307,-6.224978,-1.280062,2.547945,-5.993413,-1.339393,2.073234,-6.014755,-1.325999,2.004472,-6.06755,-1.339393,2.073234,-6.014755,-0.6744818,2.206538,-6.054341,-0.4259815,1.741547,-6.579918,-0.4213017,0.8395782,-6.139753,-0.9506388,2.214761,-6.072844,-1.139086,1.762781,-6.627695,-1.211749,0.8631141,-6.192713,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1
7,09182024051657165,-0.7881678,3.268612,-6.362804,-0.7920014,3.144067,-6.309077,-0.8031669,2.755768,-6.163248,-0.8192201,2.21501,-5.988437,-0.7920014,3.144067,-6.309077,-0.7920014,3.144067,-6.309077,-0.8192201,2.21501,-5.988437,-0.8192201,2.21501,-5.988437,-0.4729805,3.023922,-6.198568,-0.3175776,2.550317,-5.971161,-0.3300717,2.090705,-6.121928,-0.3144431,2.031008,-6.192691,-0.3300717,2.090705,-6.121928,-1.115127,3.056867,-6.212734,-1.287028,2.552236,-5.981581,-1.347803,2.077355,-6.013379,-1.334867,2.007987,-6.068658,-1.347803,2.077355,-6.013379,-0.6785467,2.210805,-6.041494,-0.4196293,1.742475,-6.558616,-0.3985915,0.8270576,-6.123504,-0.9552362,2.218731,-6.060807,-1.151662,1.763446,-6.609713,-1.244186,0.8512818,-6.182528,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1
8,09182024051657377,-0.7685628,3.263096,-6.368767,-0.7773654,3.140765,-6.309499,-0.7999674,2.758394,-6.151722,-0.8218109,2.219783,-5.97381,-0.7773654,3.140765,-6.309499,-0.7773654,3.140765,-6.309499,-0.8218109,2.219783,-5.97381,-0.8218109,2.219783,-5.97381,-0.4544604,3.014139,-6.213979,-0.2895589,2.55197,-6.01261,-0.3136245,2.119354,-6.24846,-0.3080397,2.088741,-6.337169,-0.3136245,2.119354,-6.24846,-1.100135,3.055184,-6.212848,-1.284872,2.564,-5.992467,-1.34514,2.110612,-6.149813,-1.346072,2.023236,-6.201792,-1.34514,2.110612,-6.149813,-0.6809238,2.215151,-6.026716,-0.4121764,1.741037,-6.528616,-0.4030839,0.8180337,-6.10796,-0.9579293,2.223773,-6.046044,-1.172677,1.764709,-6.581679,-1.271288,0.8450581,-6.168537,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
9,09182024051657571,-0.7188535,3.259024,-6.379582,-0.7300385,3.136874,-6.317891,-0.762697,2.756324,-6.15065,-0.8003089,2.223071,-5.959475,-0.7300385,3.136874,-6.317891,-0.7300385,3.136874,-6.317891,-0.8003089,2.223071,-5.959475,-0.8003089,2.223071,-5.959475,-0.4123333,3.006271,-6.232444,-0.2478842,2.558482,-6.040563,-0.26325,2.197019,-6.394957,-0.3221109,2.150121,-6.49651,-0.26325,2.197019,-6.394957,-1.050706,3.048537,-6.222278,-1.225829,2.582076,-6.022124,-1.222581,2.150235,-6.325076,-1.181422,2.039573,-6.412443,-1.222581,2.150235,-6.325076,-0.660495,2.216187,-6.014386,-0.3943391,1.736269,-6.511547,-0.4369787,0.806937,-6.109253,-0.9363729,2.22927,-6.02968,-1.188508,1.773932,-6.555572,-1.284478,0.8471286,-6.156235,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
10,09182024051657788,-0.6964136,3.262787,-6.370893,-0.7052337,3.139911,-6.310312,-0.7289036,2.757331,-6.145421,-0.7482774,2.223116,-5.953997,-0.7052337,3.139911,-6.310312,-0.7052337,3.139911,-6.310312,-0.7482774,2.223116,-5.953997,-0.7482774,2.223116,-5.953997,-0.3867052,3.011805,-6.225562,-0.2281332,2.56945,-6.03086,-0.2631995,2.224396,-6.401195,-0.3351095,2.178379,-6.481603,-0.2631995,2.224396,-6.401195,-1.024092,3.047583,-6.21716,-1.172693,2.587571,-6.038275,-1.12317,2.157395,-6.389887,-1.078329,2.056757,-6.443009,-1.12317,2.157395,-6.389887,-0.6124953,2.217034,-6.010386,-0.2883981,1.743326,-6.501795,-0.2655977,0.8071489,-6.106122,-0.883049,2.228398,-6.022834,-1.18447,1.780963,-6.543023,-1.27954,0.849737,-6.152773,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,1,1
