GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,Sphere 1_X,Sphere 1_Y,Sphere 1_Z,Sphere 2_X,Sphere 2_Y,Sphere 2_Z,Sphere 3_X,Sphere 3_Y,Sphere 3_Z,Sphere 4_X,Sphere 4_Y,Sphere 4_Z,Sphere 5_X,Sphere 5_Y,Sphere 5_Z,Sphere 6_X,Sphere 6_Y,Sphere 6_Z,Sphere 7_X,Sphere 7_Y,Sphere 7_Z,Sphere 8_X,Sphere 8_Y,Sphere 8_Z,Sphere 9_X,Sphere 9_Y,Sphere 9_Z,Sphere 10_X,Sphere 10_Y,Sphere 10_Z,Sphere 11_X,Sphere 11_Y,Sphere 11_Z,Sphere 12_X,Sphere 12_Y,Sphere 12_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2
1,09182024053549881,5.780353,1.58216,-2.147481,5.781865,1.495107,-2.0191,5.78721,1.224364,-1.652397,5.800394,0.8565662,-1.18546,5.781865,1.495107,-2.0191,5.781865,1.495107,-2.0191,5.800394,0.8565662,-1.18546,5.800394,0.8565662,-1.18546,6.101165,1.538964,-1.841049,6.280042,1.272922,-1.402011,6.136206,0.8374217,-1.600093,6.081803,0.7955912,-1.538108,6.136206,0.8374217,-1.600093,5.471012,1.546038,-1.881238,5.179563,1.394661,-1.548482,5.346161,0.9386983,-1.451254,5.404536,0.8433468,-1.482394,5.346161,0.9386983,-1.451254,5.929741,0.8656634,-1.247628,6.218702,0.4223119,-1.747367,6.232078,-0.3272191,-1.255762,5.670001,0.8626771,-1.25022,5.39556,0.4128479,-1.755579,5.428545,-0.3364576,-1.263779,6.488612,0.1027963,-5.617521,6.038611,0.1027963,-5.617522,5.518611,0.1027963,-5.617522,5.068611,0.1027963,-5.617522,6.488612,0.1027963,-5.207522,6.038611,0.1027963,-5.207522,5.518611,0.1027963,-5.207522,5.068611,0.1027963,-5.207522,6.488612,0.1027963,-4.787522,6.038611,0.1027963,-4.787522,5.518611,0.1027963,-4.787522,5.068611,0.1027963,-4.787522,5.800001,0,-5.19,0,0,0,0,0,0
2,09182024053551961,5.791459,1.536304,-2.278982,5.798611,1.465669,-2.150981,5.821753,1.249716,-1.781674,5.854072,0.9569349,-1.304173,5.798611,1.465669,-2.150981,5.798611,1.465669,-2.150981,5.854072,0.9569349,-1.304173,5.854072,0.9569349,-1.304173,6.206105,1.513668,-1.943472,6.312169,1.193991,-1.500564,6.332564,0.764836,-1.642703,6.333379,0.7062042,-1.681612,6.332564,0.764836,-1.642703,5.522957,1.52144,-2.021109,5.247016,1.26377,-1.744948,5.345716,0.8237926,-1.679211,5.422323,0.7638503,-1.714317,5.345716,0.8237926,-1.679211,5.98887,0.9660019,-1.367371,6.160414,0.4204717,-1.636518,6.358755,-0.4375894,-1.390304,5.715925,0.9598494,-1.36769,5.573083,0.4072326,-1.637205,5.474994,-0.4575105,-1.391338,6.488612,0.1027963,-5.617521,6.038611,0.1027963,-5.617522,5.518611,0.1027963,-5.617522,5.068611,0.1027963,-5.617522,6.488612,0.1027963,-5.207522,6.038611,0.1027963,-5.207522,5.518611,0.1027963,-5.207522,5.068611,0.1027963,-5.207522,6.488612,0.1027963,-4.787522,6.038611,0.1027963,-4.787522,5.518611,0.1027963,-4.787522,5.068611,0.1027963,-4.787522,5.800001,0,-5.19,0,0,0,0,0,0
3,09182024053552444,5.749989,2.034524,-1.394233,5.754091,1.906611,-1.333931,5.767774,1.508133,-1.16455,5.783917,0.9625428,-0.9527357,5.754091,1.906611,-1.333931,5.754091,1.906611,-1.333931,5.783917,0.9625428,-0.9527357,5.783917,0.9625428,-0.9527357,6.073114,1.798967,-1.212221,6.265564,1.324316,-0.9978926,6.280848,0.8966956,-1.239158,6.284332,0.8594549,-1.361373,6.280848,0.8966956,-1.239158,5.419392,1.805392,-1.220582,5.229452,1.361691,-1.109177,5.30455,0.9618027,-1.425688,5.391523,0.8787,-1.480753,5.30455,0.9618027,-1.425688,5.921385,0.9711308,-1.013463,6.147897,0.6333903,-1.645073,6.027881,-0.2298193,-1.252726,5.645854,0.9632947,-1.019958,5.473433,0.6142087,-1.660973,5.641788,-0.2407998,-1.261827,6.488612,0.1027963,-5.617521,6.038611,0.1027963,-5.617522,5.518611,0.1027963,-5.617522,5.068611,0.1027963,-5.617522,6.488612,0.1027963,-5.207522,6.038611,0.1027963,-5.207522,5.518611,0.1027963,-5.207522,5.068611,0.1027963,-5.207522,6.488612,0.1027963,-4.787522,6.038611,0.1027963,-4.787522,5.518611,0.1027963,-4.787522,5.068611,0.1027963,-4.787522,5.800001,0,-5.19,0,0,0,0,0,0
4,09182024053552944,5.767353,2.155232,-1.038247,5.769226,2.027195,-1.002904,5.776521,1.625942,-0.9066446,5.791605,1.068746,-0.7816677,5.769226,2.027195,-1.002904,5.769226,2.027195,-1.002904,5.791605,1.068746,-0.7816677,5.791605,1.068746,-0.7816677,6.073579,1.910871,-0.9438779,6.262113,1.454313,-0.7480738,6.302869,1.085397,-1.106888,6.321486,1.097138,-1.151756,6.302869,1.085397,-1.106888,5.432329,1.904457,-0.9176865,5.269679,1.46843,-0.7146077,5.185019,1.066969,-0.9887648,5.207771,1.019749,-1.046256,5.185019,1.066969,-0.9887648,5.925131,1.073729,-0.8441532,6.174073,0.7565397,-1.459999,5.91487,0.004404545,-0.8968501,5.65763,1.068722,-0.8467004,5.437392,0.7427511,-1.467013,5.731236,0.0009673834,-0.8985987,6.488612,0.1027963,-5.617521,6.038611,0.1027963,-5.617522,5.518611,0.1027963,-5.617522,5.068611,0.1027963,-5.617522,6.488612,0.1027963,-5.207522,6.038611,0.1027963,-5.207522,5.518611,0.1027963,-5.207522,5.068611,0.1027963,-5.207522,6.488612,0.1027963,-4.787522,6.038611,0.1027963,-4.787522,5.518611,0.1027963,-4.787522,5.068611,0.1027963,-4.787522,5.800001,0,-5.19,1,0,1,0,1,0
5,09182024053553432,5.807588,2.172283,-0.872092,5.80929,2.047405,-0.8430305,5.815264,1.659505,-0.7693322,5.825893,1.123179,-0.6819758,5.80929,2.047405,-0.8430305,5.80929,2.047405,-0.8430305,5.825893,1.123179,-0.6819758,5.825893,1.123179,-0.6819758,6.118647,1.953078,-0.8072717,6.266901,1.496091,-0.6624959,6.12433,1.191298,-1.083758,6.076041,1.104945,-1.120088,6.12433,1.191298,-1.083758,5.473697,1.945075,-0.7931716,5.398218,1.477055,-0.6971583,5.551044,1.149234,-1.113495,5.58781,1.057696,-1.14838,5.551044,1.149234,-1.113495,5.955222,1.128356,-0.7438393,6.240461,0.8195163,-1.349015,5.993859,0.06940323,-0.7928061,5.694675,1.121068,-0.7471902,5.443799,0.7972325,-1.359261,5.707728,0.06139976,-0.7964861,6.488612,0.1027963,-5.617521,6.038611,0.1027963,-5.617522,5.518611,0.1027963,-5.617522,5.068611,0.1027963,-5.617522,6.488612,0.1027963,-5.207522,6.038611,0.1027963,-5.207522,5.518611,0.1027963,-5.207522,5.068611,0.1027963,-5.207522,6.488612,0.1027963,-4.787522,6.038611,0.1027963,-4.787522,5.518611,0.1027963,-4.787522,5.068611,0.1027963,-4.787522,5.800001,0,-5.19,1,0,1,0,1,0
6,09182024053553933,5.834031,2.186842,-0.7913659,5.835527,2.062888,-0.7644324,5.840302,1.679068,-0.6981542,5.847064,1.150216,-0.6251538,5.835527,2.062888,-0.7644324,5.835527,2.062888,-0.7644324,5.847064,1.150216,-0.6251538,5.847064,1.150216,-0.6251538,6.150266,1.969786,-0.725539,6.275267,1.493716,-0.6209857,6.106126,1.18908,-1.062533,6.068678,1.083406,-1.083296,6.106126,1.18908,-1.062533,5.503582,1.968659,-0.7275865,5.433221,1.484529,-0.6847928,5.56038,1.12791,-1.020314,5.607793,1.056439,-1.101321,5.56038,1.12791,-1.020314,5.974672,1.154279,-0.6852579,6.283957,0.8584779,-1.283143,6.028452,0.1607373,-0.6855822,5.716776,1.148294,-0.6921797,5.457316,0.8392924,-1.305329,5.702284,0.1531672,-0.6943364,6.488612,0.1027963,-5.617521,6.038611,0.1027963,-5.617522,5.518611,0.1027963,-5.617522,5.068611,0.1027963,-5.617522,6.488612,0.1027963,-5.207522,6.038611,0.1027963,-5.207522,5.518611,0.1027963,-5.207522,5.068611,0.1027963,-5.207522,6.488612,0.1027963,-4.787522,6.038611,0.1027963,-4.787522,5.518611,0.1027963,-4.787522,5.068611,0.1027963,-4.787522,5.800001,0,-5.19,1,0,1,0,1,0
7,09182024053554437,5.77084,2.238406,-4.27628,5.771723,2.115406,-4.248162,5.774529,1.734457,-4.180233,5.77879,1.208925,-4.109385,5.771723,2.115406,-4.248162,5.771723,2.115406,-4.248162,5.77879,1.208925,-4.109385,5.77879,1.208925,-4.109385,6.087431,2.019735,-4.201879,6.208593,1.536429,-4.110899,6.059283,1.210988,-4.524063,6.015876,1.139021,-4.585876,6.059283,1.210988,-4.524063,5.440998,2.022413,-4.211603,5.356279,1.53758,-4.181546,5.451263,1.158396,-4.487535,5.505627,1.078902,-4.604345,5.451263,1.158396,-4.487535,5.906173,1.211601,-4.169013,6.213787,0.9109796,-4.768166,5.954946,0.2274941,-4.169552,5.648635,1.207983,-4.176878,5.392568,0.8994441,-4.793246,5.630763,0.2229405,-4.179453,6.488612,0.1027963,-5.617521,6.038611,0.1027963,-5.617522,5.518611,0.1027963,-5.617522,5.068611,0.1027963,-5.617522,6.488612,0.1027963,-5.207522,6.038611,0.1027963,-5.207522,5.518611,0.1027963,-5.207522,5.068611,0.1027963,-5.207522,6.488612,0.1027963,-4.787522,6.038611,0.1027963,-4.787522,5.518611,0.1027963,-4.787522,5.068611,0.1027963,-4.787522,5.800001,0,-5.19,1,0,1,0,1,0
8,09182024053554947,5.758852,2.244007,-4.332986,5.761535,2.117429,-4.295985,5.769026,1.729019,-4.20354,5.776197,1.201846,-4.111608,5.761535,2.117429,-4.295985,5.761535,2.117429,-4.295985,5.776197,1.201846,-4.111608,5.776197,1.201846,-4.111608,6.083632,2.007405,-4.212667,6.210708,1.52756,-4.113567,6.063686,1.229818,-4.573106,6.02525,1.121505,-4.586068,6.063686,1.229818,-4.573106,5.43885,2.008968,-4.221626,5.345314,1.529834,-4.18236,5.445258,1.16318,-4.504497,5.497292,1.094722,-4.601545,5.445258,1.16318,-4.504497,5.904548,1.203781,-4.171436,6.202162,0.899931,-4.776042,5.960211,0.218435,-4.180237,5.645219,1.2019,-4.178914,5.39778,0.8940953,-4.799239,5.632163,0.2160549,-4.189697,6.488612,0.1027963,-5.617521,6.038611,0.1027963,-5.617522,5.518611,0.1027963,-5.617522,5.068611,0.1027963,-5.617522,6.488612,0.1027963,-5.207522,6.038611,0.1027963,-5.207522,5.518611,0.1027963,-5.207522,5.068611,0.1027963,-5.207522,6.488612,0.1027963,-4.787522,6.038611,0.1027963,-4.787522,5.518611,0.1027963,-4.787522,5.068611,0.1027963,-4.787522,5.800001,0,-5.19,1,0,1,0,1,0
9,09182024053555446,5.780427,2.253296,-4.384643,5.779686,2.127195,-4.341572,5.781571,1.735752,-4.230906,5.784398,1.202316,-4.111652,5.779686,2.127195,-4.341572,5.779686,2.127195,-4.341572,5.784398,1.202316,-4.111652,5.784398,1.202316,-4.111652,6.095648,1.999129,-4.230482,6.228422,1.543951,-4.070302,6.189599,1.161092,-4.401305,6.071675,1.153983,-4.533154,6.189599,1.161092,-4.401305,5.455671,2.0134,-4.244592,5.348305,1.541219,-4.174544,5.542776,1.2859,-4.544155,5.615052,1.280251,-4.576441,5.542776,1.2859,-4.544155,5.91339,1.203382,-4.170719,6.159381,0.9800754,-4.824177,6.290182,0.2282248,-4.925081,5.652613,1.20386,-4.179391,5.458423,0.9813591,-4.847486,5.352046,0.2299429,-4.956276,6.488612,0.1027963,-5.617521,6.038611,0.1027963,-5.617522,5.518611,0.1027963,-5.617522,5.068611,0.1027963,-5.617522,6.488612,0.1027963,-5.207522,6.038611,0.1027963,-5.207522,5.518611,0.1027963,-5.207522,5.068611,0.1027963,-5.207522,6.488612,0.1027963,-4.787522,6.038611,0.1027963,-4.787522,5.518611,0.1027963,-4.787522,5.068611,0.1027963,-4.787522,5.800001,0,-5.19,1,0,1,0,1,0
10,09182024053555938,5.802928,2.252174,-4.397258,5.795789,2.128139,-4.353225,5.78442,1.739475,-4.235999,5.756885,1.212577,-4.091938,5.795789,2.128139,-4.353225,5.795789,2.128139,-4.353225,5.756885,1.212577,-4.091938,5.756885,1.212577,-4.091938,6.111061,1.989358,-4.237322,6.246123,1.53718,-4.056128,6.111433,1.229659,-4.477239,6.04425,1.176367,-4.537635,6.111433,1.229659,-4.477239,5.470433,2.022084,-4.239574,5.352223,1.570267,-4.116863,5.504474,1.328214,-4.512475,5.595261,1.286407,-4.542749,5.504474,1.328214,-4.512475,5.891263,1.202992,-4.157409,5.885418,0.9839257,-5.064587,5.715855,0.2847806,-5.540231,5.619949,1.225978,-4.152635,5.555356,1.011889,-5.058779,5.617806,0.293087,-5.538506,6.488612,0.1027963,-5.617521,6.038611,0.1027963,-5.617522,5.518611,0.1027963,-5.617522,5.068611,0.1027963,-5.617522,6.488612,0.1027963,-5.207522,6.038611,0.1027963,-5.207522,5.518611,0.1027963,-5.207522,5.068611,0.1027963,-5.207522,6.488612,0.1027963,-4.787522,6.038611,0.1027963,-4.787522,5.518611,0.1027963,-4.787522,5.068611,0.1027963,-4.787522,5.800001,0,-5.19,1,0,1,0,1,0
