GlobalID,EntryID,SpineBase_X,SpineBase_Y,SpineBase_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z,HipRight_X,HipRight_Y,HipRight_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,HandTracker_LEFT_X,HandTracker_LEFT_Y,HandTracker_LEFT_Z,HandTracker_RIGHT_X,HandTracker_RIGHT_Y,HandTracker_RIGHT_Z,Spatial_1,Spatial_2,Spatial,Temporal_1,Temporal_2,Temporal
3301,08062025061603000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
3302,08062025061603518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
3303,08062025061603705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
3304,08062025061603903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
3305,08062025061604103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
3306,08062025061604305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
3307,08062025061604503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
3308,08062025061604711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
3309,08062025061604910,-0.3334813,-2.223013,14.7506,-0.3680408,0.8483584,14.52546,-0.3966838,3.777248,14.15523,-0.3696589,5.205989,13.37957,-2.14432,2.715129,14.32097,-2.540357,0.2091929,14.76431,-2.422285,-1.911672,14.37914,-2.255225,-2.473296,14.25149,1.353165,2.557416,14.15962,1.954389,0.2151726,14.66823,1.779379,-1.959304,14.09532,1.651981,-2.378481,13.98694,-1.131564,-2.133314,14.41018,-1.12739,-4.955421,15.00354,-0.8208552,-9.142508,17.25119,-0.9848187,-9.830482,16.90821,0.4806051,-2.207306,14.39155,0.9321491,-5.069146,14.88795,1.150314,-9.086527,17.0109,1.276265,-9.742886,16.66856,-0.3903285,3.065182,14.26997,-2.119811,-3.188876,14.20841,-1.934023,-2.415304,13.84271,1.537897,-3.084103,13.85167,1.330414,-2.232611,13.61214,278.5954,119.9324,7.839982,397.9734,122.8293,7.839982,1,1,1,1,1,1
3310,08062025061605112,-0.3364314,-2.223739,14.75203,-0.3687718,0.8472955,14.5251,-0.3968131,3.775304,14.153,-0.3708469,5.206182,13.37963,-2.145593,2.7152,14.32164,-2.540951,0.2083543,14.76506,-2.424176,-1.912612,14.38053,-2.289485,-2.422919,14.24818,1.352561,2.558097,14.15987,1.953745,0.217051,14.66839,1.776083,-1.961927,14.09198,1.672155,-2.340908,13.97983,-1.136001,-2.146358,14.41578,-1.134423,-4.968885,15.00969,-0.8210334,-9.150296,17.25149,-0.9843797,-9.836151,16.91985,0.4740666,-2.197985,14.39215,0.9308937,-5.077085,14.89394,1.154631,-9.054132,16.99924,1.293604,-9.761215,16.68875,-0.3906065,3.063617,14.26838,-2.14764,-3.116616,14.21962,-1.992514,-2.442761,13.8243,1.558825,-2.96626,13.80314,1.34938,-2.298874,13.59162,277.5486,121.4716,7.839982,398.5898,123.9772,7.839982,1,1,1,1,1,1
