GlobalID,EntryID,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,FiringPoint_X,FiringPoint_Y,FiringPoint_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,HandL_X,HandL_Y,HandL_Z,HandR_X,HandR_Y,HandR_Z,Head_X,Head_Y,Head_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,Player_X,Player_Y,Player_Z,PlayerImage_X,PlayerImage_Y,PlayerImage_Z,PlayerTransformEffect_X,PlayerTransformEffect_Y,PlayerTransformEffect_Z,Raft_X,Raft_Y,Raft_Z,RaftBack_X,RaftBack_Y,RaftBack_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,FiringPoint_RotX,FiringPoint_RotY,FiringPoint_RotZ,FiringPoint_RotW,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2
5101,08062025071039871,0,0,0,0,0,0,11.184,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.552,0,0,0,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0
5102,08062025071044823,-2.171459,2.231749,-0.06614238,1.660864,2.268867,-0.07384239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-2.205429,-0.2556963,-0.05984238,1.978649,-0.1326473,-0.06404239,-0.06042085,6.740239,-0.04654238,-0.8058358,-2.13798,-0.07384239,1.013327,-1.995806,-0.07284237,-4.5,-1.382057,-0.01000072,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.06550372,0.4342253,-0.05894238,0,0,0,1,0,0,0,0,0,0
5103,08062025071045188,-1.514147,2.255754,-0.06744239,2.329385,2.217589,-0.07074238,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-1.517678,-0.2180738,-0.06294239,2.709991,-0.2975426,-0.06144239,0.5477103,6.766139,-0.04674238,-0.596201,-2.236481,-0.07094239,1.361125,-2.134164,-0.07504238,-4.5,-1.488886,-0.01,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.4538851,0.3843596,-0.05884239,0,0,0,1,0,0,0,0,0,0
5104,08062025071045481,-1.328964,2.242883,-0.06694239,2.512257,2.214278,-0.06954239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-1.285538,-0.2019255,-0.06344238,2.477122,-0.237083,-0.06544238,0.7210761,6.806729,-0.04644239,-0.5226554,-2.325561,-0.07364239,1.358647,-2.12268,-0.07334238,-4.5,-1.632698,-0.01000024,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.6003678,0.3771083,-0.05744239,0,0,0,1,0,0,0,0,0,0
5105,08062025071045724,-1.522371,2.203008,-0.06464238,2.27824,2.228804,-0.06894238,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-1.623204,-0.3343031,-0.05934239,2.182181,-0.2196391,-0.06364238,0.5518172,6.85156,-0.04754239,-0.4694864,-2.321492,-0.07024238,1.339375,-2.217662,-0.07424238,-4.5,-1.802688,-0.01000048,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.5282192,0.3414288,-0.05614239,0,0,0,1,0,0,0,0,0,0
5106,08062025071045954,-1.779552,2.127675,-0.06344238,2.110894,2.164497,-0.06724238,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-1.738383,-0.3676493,-0.05684238,2.282016,-0.3983207,-0.05984238,0.2204522,6.858533,-0.04654238,-0.6262506,-2.366374,-0.07044238,1.17353,-2.19351,-0.06924239,-4.5,-1.954486,-0.01,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.2895485,0.2796018,-0.05584238,0,0,0,1,0,0,0,0,0,0
5107,08062025071046152,-2.108142,2.048983,-0.06344238,1.850457,2.097736,-0.06564239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-1.983115,-0.4966073,-0.05834239,1.989701,-0.4223413,-0.06024239,-0.2378619,6.838581,-0.04374239,-0.7965715,-2.396371,-0.07064238,1.099069,-2.565043,-0.06314239,-4.5,-2.118013,-0.01000072,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.006368566,0.2044659,-0.05534238,0,0,0,1,0,0,0,0,0,0
5108,08062025071046361,-2.387737,1.986782,-0.06184239,1.60876,2.117915,-0.06504239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-2.472451,-0.5994837,-0.05984238,1.75775,-0.3569214,-0.05914238,-0.5555171,6.829209,-0.03974238,-0.9111735,-2.435853,-0.07064238,1.383548,-3.454786,-0.05884239,-4.5,-2.201859,-0.01000119,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,-0.1687656,0.1583934,-0.05374238,0,0,0,1,0,0,0,0,0,0
5109,08062025071046563,-2.493565,1.881316,-0.05734239,1.692801,2.050947,-0.06124239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-2.588594,-0.744494,-0.05684238,1.913648,-0.4950886,-0.05564239,-0.5372179,6.876547,-0.03424239,-0.8703867,-2.586184,-0.06684238,1.381439,-3.547516,-0.05814238,-4.5,-2.210938,-0.01000048,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,-0.1328227,0.01744962,-0.05014238,0,0,0,1,0,0,0,0,0,0
5110,08062025071046752,-2.273018,1.708821,-0.05034238,2.151019,1.85328,-0.05504239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-2.3228,-1.071648,-0.04794238,2.414927,-0.8999369,-0.04914238,0.0008884006,6.968144,-0.03004238,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-2.145264,-0.01000072,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.1800108,-0.3475361,-0.04244239,0,0,0,1,0,0,0,0,0,0
5111,08062025071046958,-1.836922,1.674933,-0.04184239,2.980981,1.70533,-0.04614239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-1.777974,-1.526486,-0.03544239,3.138839,-1.388206,-0.04004238,0.8805271,7.428528,-0.02254238,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-2.014847,-0.01000072,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.6774642,-0.7309828,-0.03454239,0,0,0,1,0,0,0,0,0,0
