Label,Count,Avg(ms),Min,Max,StdDev
SaveTransform_PlayerImage,225,0.00,0,0,0.00
SaveTransform_PlayerTransformEffect,225,0.00,0,0,0.00
SaveTransform_HandL,225,0.00,0,0,0.00
SaveTransform_HandR,225,0.00,0,0,0.00
SaveTransform_FootR,225,0.02,0,5,0.33
SaveTransform_FootL,225,0.00,0,0,0.00
SaveTransform_Head,225,0.00,0,0,0.00
SaveTransform_ElbowL,225,0.00,0,0,0.00
SaveTransform_ElbowR,225,0.00,0,0,0.00
SaveTransform_SpineBase,225,0.00,0,0,0.00
SaveTransform_KneeL,225,0.00,0,0,0.00
SaveTransform_KneeR,225,0.00,0,0,0.00
SaveTransform_Player,225,0.03,0,5,0.36
SaveTransform_Ground,225,0.00,0,0,0.00
SaveTransform_Passport3,85,0.00,0,0,0.00
SaveTransform_Passport,85,0.00,0,0,0.00
SaveTransform_Coin,136,0.00,0,0,0.00
SaveTransform_Suitcase,360,0.00,0,0,0.00
ImageSave,225,50.33,42,84,4.37
GatherData,225,52.44,44,95,4.88
SaveTransform_Bomb_0,15,0.00,0,0,0.00
SaveTransform_Bomb_1,18,0.00,0,0,0.00
SaveTransform_Bomb_2,18,0.00,0,0,0.00
SaveTransform_Bomb_3,17,0.00,0,0,0.00
SaveTransform_Bomb_4,18,0.00,0,0,0.00
SaveTransform_Bomb_5,17,0.00,0,0,0.00
SaveTransform_Bomb_6,15,0.00,0,0,0.00
SaveTransform_Bomb_7,18,0.00,0,0,0.00
SaveTransform_Bomb_8,18,0.00,0,0,0.00
SaveTransform_Bomb_9,19,0.00,0,0,0.00
SaveTransform_Bomb_10,18,0.00,0,0,0.00
SaveTransform_Bomb_11,17,0.00,0,0,0.00
SaveTransform_Bomb_12,16,0.00,0,0,0.00
SaveTransform_Bomb_13,18,0.00,0,0,0.00
SaveTransform_Bomb_14,18,0.00,0,0,0.00
SaveTransform_Bomb_15,19,0.00,0,0,0.00
SaveTransform_Bomb_16,17,0.00,0,0,0.00
SaveTransform_Bomb_17,15,0.00,0,0,0.00
SaveTransform_Bomb_18,3,0.00,0,0,0.00
