Label,Count,Avg(ms),Min,Max,StdDev
SaveTransform_PlayerImage,148,0.00,0,0,0.00
SaveTransform_PlayerTransformEffect,148,0.00,0,0,0.00
SaveTransform_HandL,148,0.00,0,0,0.00
SaveTransform_HandR,148,0.00,0,0,0.00
SaveTransform_FootR,148,0.00,0,0,0.00
SaveTransform_FootL,148,0.00,0,0,0.00
SaveTransform_Head,148,0.00,0,0,0.00
SaveTransform_ElbowL,148,0.00,0,0,0.00
SaveTransform_ElbowR,148,0.00,0,0,0.00
SaveTransform_SpineBase,148,0.00,0,0,0.00
SaveTransform_KneeL,148,0.00,0,0,0.00
SaveTransform_KneeR,148,0.00,0,0,0.00
SaveTransform_Player,148,0.01,0,2,0.16
SaveTransform_Ground,148,0.00,0,0,0.00
SaveTransform_Passport3,98,0.00,0,0,0.00
SaveTransform_Passport,98,0.00,0,0,0.00
SaveTransform_Coin,144,0.00,0,0,0.00
SaveTransform_Suitcase,296,0.00,0,0,0.00
ImageSave,148,52.78,45,89,8.46
GatherData,148,55.24,47,94,9.04
SaveTransform_Bomb_0,15,0.00,0,0,0.00
SaveTransform_Bomb_1,18,0.00,0,0,0.00
SaveTransform_Bomb_2,18,0.00,0,0,0.00
SaveTransform_Bomb_3,17,0.00,0,0,0.00
SaveTransform_Bomb_4,17,0.00,0,0,0.00
SaveTransform_Bomb_5,17,0.00,0,0,0.00
SaveTransform_Bomb_6,18,0.00,0,0,0.00
SaveTransform_Bomb_7,18,0.00,0,0,0.00
SaveTransform_Bomb_8,16,0.00,0,0,0.00
SaveTransform_Bomb_9,18,0.00,0,0,0.00
SaveTransform_Bomb_10,18,0.00,0,0,0.00
SaveTransform_Bomb_11,17,0.00,0,0,0.00
SaveTransform_Bomb_12,18,0.00,0,0,0.00
SaveTransform_Bomb_13,16,0.00,0,0,0.00
SaveTransform_Bomb_14,4,0.00,0,0,0.00
