Id,Data Type,Architecture,Acc.,Prec.,Rec.,F1,Hold. Acc.,Hold. Pre.,Hold. Rec.,Hold. F1,total accuracy
k10-bg-b,combined,1dcnn-t-t-bg-b,72.66%,76.02%,70.86%,72.79%,60.72%,78.67%,37.76%,50.76%,1.3338
k10-bg-w,combined,1dcnn-t-t-bg-w,82.91%,66.47%,76.91%,71.25%,67.77%,93.89%,44.02%,59.86%,1.5068
k10-f,combined,1dcnn-t-t-f,91.15%,87.33%,91.99%,89.59%,66.33%,87.60%,45.02%,59.27%,1.5748
k10-p,combined,1dcnn-t-t-p,91.51%,87.32%,92.92%,90.02%,65.06%,89.71%,40.93%,55.96%,1.5657
k10-s,combined,1dcnn-t-t-s,91.24%,87.09%,93.19%,89.92%,64.30%,88.53%,41.59%,55.92%,1.5554
j1-bg-b,image,transformer_bg,55.30%,60.36%,46.96%,52.44%,52.48%,60.37%,41.12%,48.22%,1.0778
j1-bg-w,image,transformer_bg,68.80%,43.22%,38.07%,39.48%,49.77%,65.88%,16.07%,25.41%,1.1857
j1-f,image,transformer_f,76.45%,72.00%,69.13%,69.98%,56.27%,67.06%,37.23%,47.41%,1.3272
i4_bg_b,tabular,1dcnn,73.61%,83.35%,63.00%,71.37%,52.84%,43.79%,80.00%,56.60%,1.2645
j1-p,image,transformer_p,78.29%,74.65%,72.68%,73.29%,51.15%,60.99%,27.66%,37.35%,1.2944
i4_bg_w,tabular,1dcnn,82.43%,65.24%,79.22%,71.44%,49.05%,21.89%,40.00%,28.30%,1.3148
i4_f,tabular,1dcnn,88.55%,83.45%,90.10%,86.65%,48.42%,18.24%,33.33%,23.58%,1.3697
j1-s,image,transformer_s,78.07%,74.15%,73.65%,73.69%,54.94%,64.47%,37.29%,46.26%,1.3301
i4_p,tabular,1dcnn,90.25%,84.34%,93.50%,88.66%,50.95%,32.84%,60.00%,42.45%,1.412
i4_s,tabular,1dcnn,90.63%,85.57%,93.17%,89.18%,52.84%,43.79%,80.00%,56.60%,1.4347
