ID,Data Type,Architecture,Acc.,Prec.,Rec.,F1,Hold. Acc.,Hold. Pre.,Hold. Rec.,Hold. F1,Total accuracy
k1,combined,transformer_mlp,95.54%,93.94%,93.34%,93.64%,88.42%,73.77%,90.50%,80.84%,
i1_bg_b,tabular,transformer,69.16%,60.30%,45.93%,51.21%,74.73%,52.78%,65.15%,55.31%,1.4389
i1_bg_w,tabular,transformer,73.42%,62.36%,53.78%,57.17%,74.94%,54.05%,59.80%,51.53%,1.4836
i1_f,tabular,transformer,85.10%,80.92%,73.85%,76.52%,79.84%,57.43%,63.37%,56.27%,1.6494
i1_p,tabular,transformer,84.67%,77.23%,79.58%,78.29%,82.64%,65.35%,82.77%,72.42%,1.6731
i1_s,tabular,transformer,87.25%,80.26%,80.89%,80.51%,86.10%,74.30%,84.55%,77.70%,1.7335
j5_bg_b,image,transformer,73.54%,62.97%,67.07%,64.93%,75.04%,51.70%,87.92%,64.91%,1.4858
j5_bg_w,image,transformer,81.57%,74.52%,69.33%,71.40%,76.80%,54.85%,81.19%,64.85%,1.5837
j5_f,image,transformer,85.55%,81.38%,74.98%,77.32%,74.94%,52.05%,55.78%,52.40%,1.6049
j5_p,image,transformer,83.42%,74.29%,81.95%,77.29%,77.83%,56.97%,85.54%,67.24%,1.6125
j5_s,image,transformer,83.64%,77.98%,73.46%,74.41%,81.19%,67.55%,73.86%,66.99%,1.6483
k3_bg_b,combined,3xtransformers,68.38%,67.00%,26.95%,38.14%,94.01%,90.86%,85.94%,88.24%,1.6239
k3_bg_w,combined,3xtransformers,78.12%,66.85%,68.10%,67.23%,90.03%,76.93%,89.31%,82.49%,1.6815
k3_f,combined,3xtransformers,93.71%,88.91%,93.41%,91.06%,90.44%,78.09%,88.78%,82.97%,1.8415
k3_p,combined,3xtransformers,93.26%,89.88%,91.25%,90.41%,90.08%,83.65%,84.36%,82.56%,1.8334
k3_s,combined,3xtransformers,93.29%,90.06%,90.21%,89.99%,89.04%,75.51%,87.52%,80.74%,1.8233
