Aspect   ,Model          ,App           ,Accuracy  ,Precision  ,Recall   ,F1
Spatial  ,PI_CNN+1D,Archery       ,0.3741,1.0000,0.2222,0.3636
Spatial  ,PI_CNN+1D,PhantomLimb   ,0.5627,0.4911,0.9890,0.6563
Spatial  ,PI_CNN+1D,PianoTiles    ,0.7205,0.8156,0.5425,0.6516
Spatial  ,PI_CNN+1D,Puzzle        ,0.4833,0.7287,0.4393,0.5481
Spatial  ,PI_CNN+1D,Sea           ,0.9433,0.8859,1.0000,0.9395
Spatial  ,PI_CNN+1D,War           ,0.6335,0.5031,0.7692,0.6084
,,,,,,
Spatial  ,PI_DANN        ,Archery       ,0.8047,0.8047,1.0000,0.8918
Spatial  ,PI_DANN        ,PhantomLimb   ,0.5778,0.0000,0.0000,0.0000
Spatial  ,PI_DANN        ,PianoTiles    ,0.4818,0.4818,1.0000,0.6503
Spatial  ,PI_DANN        ,Puzzle        ,0.7033,0.7104,0.9860,0.8258
Spatial  ,PI_DANN        ,Sea           ,0.4467,0.4430,1.0000,0.6140
Spatial  ,PI_DANN        ,War           ,0.3808,0.3741,1.0000,0.5445
,,,,,,
Spatial  ,I_CNN+T        ,Archery       ,0.8047,0.8047,1.0000,0.8918
Spatial  ,I_CNN+T        ,PhantomLimb   ,0.5778,0.0000,0.0000,0.0000
Spatial  ,I_CNN+T        ,PianoTiles    ,0.5182,0.0000,0.0000,0.0000
Spatial  ,I_CNN+T        ,Puzzle        ,0.7133,0.7133,1.0000,0.8327
Spatial  ,I_CNN+T        ,Sea           ,0.5600,0.0000,0.0000,0.0000
Spatial  ,I_CNN+T        ,War           ,0.3808,0.3741,1.0000,0.5445
,,,,,,
Spatial  ,I_ResNet50,Archery       ,0.8071,0.8066,1.0000,0.8930
Spatial  ,I_ResNet50,PhantomLimb   ,0.5778,0.0000,0.0000,0.0000
Spatial  ,I_ResNet50,PianoTiles    ,0.5182,0.0000,0.0000,0.0000
Spatial  ,I_ResNet50,Puzzle        ,0.2733,0.3333,0.0187,0.0354
Spatial  ,I_ResNet50,Sea           ,0.5533,0.0000,0.0000,0.0000
Spatial  ,I_ResNet50,War           ,0.4199,0.3843,0.9423,0.5460
,,,,,,
Spatial  ,I_MobileNetV2,Archery       ,0.8047,0.8047,1.0000,0.8918
Spatial  ,I_MobileNetV2,PhantomLimb   ,0.5676,0.4054,0.0519,0.0921
Spatial  ,I_MobileNetV2,PianoTiles    ,0.5182,0.0000,0.0000,0.0000
Spatial  ,I_MobileNetV2,Puzzle        ,0.7133,0.7133,1.0000,0.8327
Spatial  ,I_MobileNetV2,Sea           ,0.4133,0.3721,0.4848,0.4211
Spatial  ,I_MobileNetV2,War           ,0.4413,0.3695,0.7212,0.4886
,,,,,,
Spatial  ,I_CNN+Attn     ,Archery       ,0.8047,0.8047,1.0000,0.8918
Spatial  ,I_CNN+Attn     ,PhantomLimb   ,0.5778,0.0000,0.0000,0.0000
Spatial  ,I_CNN+Attn     ,PianoTiles    ,0.4818,0.4818,1.0000,0.6503
Spatial  ,I_CNN+Attn     ,Puzzle        ,0.7133,0.7133,1.0000,0.8327
Spatial  ,I_CNN+Attn     ,Sea           ,0.4467,0.4430,1.0000,0.6140
Spatial  ,I_CNN+Attn     ,War           ,0.3808,0.3741,1.0000,0.5445
,,,,,,
Spatial  ,P_1D,Archery       ,0.8047,0.8047,1.0000,0.8918
Spatial  ,P_1D,PhantomLimb   ,0.5951,0.6254,0.1021,0.1756
Spatial  ,P_1D,PianoTiles    ,0.7795,0.7076,0.9245,0.8016
Spatial  ,P_1D,Puzzle        ,0.2161,0.0000,0.0000,0.0000
Spatial  ,P_1D,Sea           ,0.7967,0.8381,0.6667,0.7426
Spatial  ,P_1D,War           ,0.6406,0.5075,0.9808,0.6689
,,,,,,
