Id,Data Type,Architecture,Acc.,Prec.,Rec.,F1,TP,TN,FP,FN,Calc Acc.,Calc. Prec.,Calc. Rec.
pt_t_t_t,combined,3xTransformer,95.88%,91.36%,76.18%,81.18%,41,377,5,13,0.9587155963,0.8913043478,75.92592593
pt_t,combined,Transformer,93.12%,87.62%,56.00%,65.67%,30,376,6,24,0.9311926606,0.8333333333,55.55555556
a_t_t_t,combined,3xTransformer,98.10%,98.56%,99.12%,98.83%,337,76,5,3,0.9809976247,0.985380117,99.11764706
a_t,combined,Transformer,98.10%,99.13%,98.53%,98.81%,335,78,3,5,0.9809976247,0.9911242604,98.52941176
p_t_t_t,combined,3xTransformer,98.98%,99.07%,99.52%,99.29%,213,80,2,1,0.9898648649,0.9906976744,99.53271028
p_t,combined,Transformer,97.63%,98.15%,98.60%,98.36%,211,78,4,3,0.9763513514,0.9813953488,98.59813084
s_t_t_t,combined,3xTransformer,96.62%,93.24%,100.00%,96.47%,134,152,10,0,0.9662162162,0.9305555556,100
s_t,combined,Transformer,95.27%,91.02%,100.00%,95.19%,134,148,14,0,0.9527027027,0.9054054054,100
w_t_t_t,combined,3xTransformer,98.20%,98.33%,97.46%,97.83%,113,159,2,3,0.9819494585,0.9826086957,97.4137931
w_t,combined,Transformer,97.47%,96.73%,97.46%,97.00%,113,157,4,3,0.9747292419,0.9658119658,97.4137931
