game,execution_id,segment_id,start_index,end_index,segment_length,severity_level
Archery,archery_data_5fps_p1_01__seq_0,1,0,2,3,moderate
Archery,archery_data_5fps_p1_01__seq_0,2,29,39,11,severe
Archery,archery_data_5fps_p1_02__seq_0,1,0,12,13,severe
Archery,archery_data_5fps_p1_02__seq_0,2,66,72,7,severe
Archery,archery_data_5fps_p1_02__seq_0,3,74,78,5,moderate
Archery,archery_data_5fps_p1_02__seq_0,4,127,127,1,minor
Archery,archery_data_5fps_p1_03__seq_0,1,0,29,30,severe
Archery,archery_data_5fps_p1_03__seq_0,2,132,143,12,severe
Archery,archery_data_5fps_p1_03__seq_0,3,145,145,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,1,0,0,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,2,8,8,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,3,17,17,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,4,23,23,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,5,26,27,2,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,6,34,34,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,7,44,48,5,moderate
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,8,51,52,2,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_1,1,0,0,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_1,2,3,10,8,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_1,3,17,17,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_1,4,22,22,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_1,5,28,28,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_2,1,0,0,1,minor
