game,execution_id,total_rows,defect_count,frequency,coverage,coverage_pct,instability,instability_rate,num_defect_segments,mean_segment_length,median_segment_length,max_segment_length,severity_pattern
Archery,archery_data_5fps_p1_01__seq_0,100,14,0.14,0.14,14.000000000000002,3,0.030303030303030304,2,7.0,7.0,11,minor_isolated
Archery,archery_data_5fps_p1_02__seq_0,175,26,0.14857142857142858,0.14857142857142858,14.857142857142858,7,0.040229885057471264,4,6.5,6.0,13,minor_isolated
Archery,archery_data_5fps_p1_03__seq_0,150,43,0.2866666666666667,0.2866666666666667,28.666666666666668,5,0.03355704697986577,3,14.333333333333334,12.0,30,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,60,14,0.23333333333333334,0.23333333333333334,23.333333333333332,15,0.2542372881355932,8,1.75,1.0,5,unstable_switching
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_1,40,12,0.3,0.3,30.0,9,0.23076923076923078,5,2.4,1.0,8,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_2,80,48,0.6,0.6,60.0,16,0.20253164556962025,9,5.333333333333333,1.0,15,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_0,46,32,0.6956521739130435,0.6956521739130435,69.56521739130434,2,0.044444444444444446,2,16.0,16.0,16,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_1,61,20,0.32786885245901637,0.32786885245901637,32.78688524590164,1,0.016666666666666666,1,20.0,20.0,20,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_2,61,44,0.7213114754098361,0.7213114754098361,72.1311475409836,12,0.2,7,6.285714285714286,3.0,17,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-5fps__seq_0,75,41,0.5466666666666666,0.5466666666666666,54.666666666666664,6,0.08108108108108109,4,10.25,6.5,25,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-5fps__seq_1,75,19,0.25333333333333335,0.25333333333333335,25.333333333333336,3,0.04054054054054054,2,9.5,9.5,17,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_0,5,4,0.8,0.8,80.0,1,0.25,1,4.0,4.0,4,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_1,10,3,0.3,0.3,30.0,1,0.1111111111111111,1,3.0,3.0,3,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_2,25,16,0.64,0.64,64.0,6,0.25,4,4.0,2.5,10,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_3,10,3,0.3,0.3,30.0,1,0.1111111111111111,1,3.0,3.0,3,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_4,30,4,0.13333333333333333,0.13333333333333333,13.333333333333334,3,0.10344827586206896,2,2.0,2.0,3,minor_isolated
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_5,20,20,1.0,1.0,100.0,0,0.0,1,20.0,20.0,20,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-3fps__seq_0,31,17,0.5483870967741935,0.5483870967741935,54.83870967741935,1,0.03333333333333333,1,17.0,17.0,17,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-3fps__seq_1,46,12,0.2608695652173913,0.2608695652173913,26.08695652173913,1,0.022222222222222223,1,12.0,12.0,12,severe_prolonged
