game,execution_id,total_rows,defect_count,coverage,num_segments,mean_segment_length,max_segment_length,instability,instability_rate,severity_pattern
Archery,archery_data_5fps_p1_01__seq_0,100,14,0.14,2,7.0,11,3,0.030303030303030304,minor_isolated
Archery,archery_data_5fps_p1_02__seq_0,175,26,0.14857142857142858,4,6.5,13,7,0.040229885057471264,minor_isolated
Archery,archery_data_5fps_p1_03__seq_0,150,43,0.2866666666666667,3,14.333333333333334,30,5,0.03355704697986577,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,60,14,0.23333333333333334,8,1.75,5,15,0.2542372881355932,unstable_switching
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_1,40,12,0.3,5,2.4,8,9,0.23076923076923078,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_2,80,48,0.6,9,5.333333333333333,15,16,0.20253164556962025,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_0,46,32,0.6956521739130435,2,16.0,16,2,0.044444444444444446,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_1,61,20,0.32786885245901637,1,20.0,20,1,0.016666666666666666,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_2,61,44,0.7213114754098361,7,6.285714285714286,17,12,0.2,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-5fps__seq_0,75,41,0.5466666666666666,4,10.25,25,6,0.08108108108108109,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-5fps__seq_1,75,19,0.25333333333333335,2,9.5,17,3,0.04054054054054054,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_0,5,4,0.8,1,4.0,4,1,0.25,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_1,10,3,0.3,1,3.0,3,1,0.1111111111111111,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_2,25,16,0.64,4,4.0,10,6,0.25,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_3,10,3,0.3,1,3.0,3,1,0.1111111111111111,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_4,30,4,0.13333333333333333,2,2.0,3,3,0.10344827586206896,minor_isolated
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_5,20,20,1.0,1,20.0,20,0,0.0,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-3fps__seq_0,31,17,0.5483870967741935,1,17.0,17,1,0.03333333333333333,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-3fps__seq_1,46,12,0.2608695652173913,1,12.0,12,1,0.022222222222222223,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-3fps__seq_2,46,33,0.717391304347826,4,8.25,12,6,0.13333333333333333,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-5fps__seq_0,50,24,0.48,1,24.0,24,1,0.02040816326530612,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-5fps__seq_1,50,41,0.82,5,8.2,17,8,0.16326530612244897,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-5fps__seq_2,50,15,0.3,1,15.0,15,1,0.02040816326530612,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person3-5fps__seq_0,75,48,0.64,8,6.0,15,14,0.1891891891891892,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person3-5fps__seq_1,100,28,0.28,1,28.0,28,1,0.010101010101010102,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-1fps__seq_0,40,26,0.65,3,8.666666666666666,17,4,0.10256410256410256,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-1fps__seq_1,15,15,1.0,1,15.0,15,0,0.0,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-1fps__seq_2,45,38,0.8444444444444444,6,6.333333333333333,25,10,0.22727272727272727,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-1fps__seq_3,10,10,1.0,1,10.0,10,0,0.0,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-1fps__seq_4,30,30,1.0,1,30.0,30,0,0.0,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-3fps__seq_0,122,94,0.7704918032786885,15,6.266666666666667,15,28,0.23140495867768596,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-3fps__seq_1,31,31,1.0,1,31.0,31,0,0.0,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-3fps__seq_2,76,76,1.0,1,76.0,76,0,0.0,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-5fps__seq_0,1,1,1.0,1,1.0,1,0,0.0,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-5fps__seq_1,200,193,0.965,3,64.33333333333333,157,4,0.020100502512562814,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-5fps__seq_2,124,99,0.7983870967741935,9,11.0,19,17,0.13821138211382114,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-1fps__seq_0,35,18,0.5142857142857142,7,2.5714285714285716,5,13,0.38235294117647056,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-1fps__seq_1,40,22,0.55,8,2.75,7,15,0.38461538461538464,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-3fps__seq_0,91,48,0.5274725274725275,11,4.363636363636363,14,21,0.23333333333333334,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-3fps__seq_1,61,39,0.639344262295082,12,3.25,18,22,0.36666666666666664,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-5fps__seq_0,125,109,0.872,8,13.625,63,14,0.11290322580645161,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-5fps__seq_1,150,139,0.9266666666666666,10,13.9,83,18,0.12080536912751678,severe_prolonged
