game,execution_id,segment_id,start_index,end_index,segment_length,severity_level
Archery,archery_data_5fps_p1_01__seq_0,1,0,2,3,moderate
Archery,archery_data_5fps_p1_01__seq_0,2,29,39,11,severe
Archery,archery_data_5fps_p1_02__seq_0,1,0,12,13,severe
Archery,archery_data_5fps_p1_02__seq_0,2,23,27,5,moderate
Archery,archery_data_5fps_p1_02__seq_0,3,32,64,33,severe
Archery,archery_data_5fps_p1_02__seq_0,4,90,102,13,severe
Archery,archery_data_5fps_p1_03__seq_0,1,0,29,30,severe
Archery,archery_data_5fps_p1_03__seq_0,2,132,144,13,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,1,0,0,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,2,44,52,9,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_1,1,0,0,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_1,2,3,39,37,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_2,1,0,0,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_2,2,28,28,1,minor
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_2,3,48,63,16,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_0,1,0,34,35,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_0,2,42,45,4,moderate
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_1,1,0,15,16,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_1,2,19,60,42,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_2,1,0,5,6,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_2,2,11,46,36,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_2,3,50,55,6,severe
PhantomLimb,PhantomLimb-Data-Extra-person1-5fps__seq_0,1,0,1,2,minor
