game,execution_id,total_rows,defect_count,frequency,coverage,coverage_pct,instability,instability_rate,num_defect_segments,mean_segment_length,median_segment_length,max_segment_length,severity_pattern
Archery,archery_data_5fps_p1_01__seq_0,100,14,0.14,0.14,14.000000000000002,3,0.030303030303030304,2,7.0,7.0,11,minor_isolated
Archery,archery_data_5fps_p1_02__seq_0,175,64,0.3657142857142857,0.3657142857142857,36.57142857142857,7,0.040229885057471264,4,16.0,13.0,33,severe_prolonged
Archery,archery_data_5fps_p1_03__seq_0,150,43,0.2866666666666667,0.2866666666666667,28.666666666666668,3,0.020134228187919462,2,21.5,21.5,30,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_0,60,10,0.16666666666666666,0.16666666666666666,16.666666666666664,3,0.05084745762711865,2,5.0,5.0,9,minor_isolated
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_1,40,38,0.95,0.95,95.0,2,0.05128205128205128,2,19.0,19.0,37,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-1fps__seq_2,80,18,0.225,0.225,22.5,5,0.06329113924050633,3,6.0,1.0,16,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_0,46,39,0.8478260869565217,0.8478260869565217,84.78260869565217,2,0.044444444444444446,2,19.5,19.5,35,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_1,61,58,0.9508196721311475,0.9508196721311475,95.08196721311475,2,0.03333333333333333,2,29.0,29.0,42,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-3fps__seq_2,61,48,0.7868852459016393,0.7868852459016393,78.68852459016394,5,0.08333333333333333,3,16.0,6.0,36,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-5fps__seq_0,75,67,0.8933333333333333,0.8933333333333333,89.33333333333333,2,0.02702702702702703,2,33.5,33.5,65,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person1-5fps__seq_1,75,46,0.6133333333333333,0.6133333333333333,61.33333333333333,6,0.08108108108108109,4,11.5,6.5,32,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_0,5,5,1.0,1.0,100.0,0,0.0,1,5.0,5.0,5,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_1,10,10,1.0,1.0,100.0,0,0.0,1,10.0,10.0,10,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_2,25,24,0.96,0.96,96.0,2,0.08333333333333333,2,12.0,12.0,19,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_3,10,10,1.0,1.0,100.0,0,0.0,1,10.0,10.0,10,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_4,30,25,0.8333333333333334,0.8333333333333334,83.33333333333334,2,0.06896551724137931,2,12.5,12.5,22,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-1fps__seq_5,20,20,1.0,1.0,100.0,0,0.0,1,20.0,20.0,20,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-3fps__seq_0,31,31,1.0,1.0,100.0,0,0.0,1,31.0,31.0,31,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-3fps__seq_1,46,46,1.0,1.0,100.0,0,0.0,1,46.0,46.0,46,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-3fps__seq_2,46,33,0.717391304347826,0.717391304347826,71.73913043478261,4,0.08888888888888889,3,11.0,14.0,15,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-5fps__seq_0,50,50,1.0,1.0,100.0,0,0.0,1,50.0,50.0,50,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person2-5fps__seq_1,50,3,0.06,0.06,6.0,2,0.04081632653061224,2,1.5,1.5,2,minor_isolated
PhantomLimb,PhantomLimb-Data-Extra-person2-5fps__seq_2,50,50,1.0,1.0,100.0,0,0.0,1,50.0,50.0,50,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person3-5fps__seq_0,75,21,0.28,0.28,28.000000000000004,3,0.04054054054054054,2,10.5,10.5,20,severe_prolonged
